indivID	Country	Location	Lat	Long	AvgDate_calBP	Sex	Cov_Autosomes	Data_Type	Publication	Contact	Group_ID	Assessment
I0172	Germany	Esperstedt	51.42	11.68	5173.0	M	25.372	1240K	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	Germany_MN_Esperstedt	PASS (Xcontam=0.007, mtcontam=0.959-0.985)
Loschbour_snpAD.DG	Luxembourg	Echternach	49.81	6.4	8050.0	M	22.0	Shotgun.diploid	Pruefer2017	Krause, Johannes	Luxembourg_Loschbour.DG	PASS
I0585	Spain	Leon, La Brana-Arintero	42.911	-5.3778	7815.0	M	19.536	1240K	MathiesonNature2015 (1240k of same same sample with shotgun in Olalde2014)	Lalueza-Fox, Carles	Iberia_HG	PASS (Xcontam=0.004)
BR2.SG	Hungary	Ludas-Varju-Dulo	47.82	19.95	3140.0	M	19.164	Shotgun	GambaNatureCommunications2014	GambaNatureCommunications2014	Hungary_LBA.SG	PASS (Xcontam=0.009)
I0412	Spain	Els Trocs	42.5	0.5	7144.0	M	13.785	1240K	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	Iberia_EN	PASS (Xcontam=0.005)
I6747_all.SG	Great Britain	England, Derbyshire, Brassington, Carsington Pasture Cave	53.079803	-1.640942	5539.0	M	13.201403	Shotgun	BraceDiekmannNatureEcologyEvolution2019	Brace, Selina	England_N_all.SG	PASS (literature)
SZ43.SG	Hungary	Szólád	46.28333333	17.85	1431.0	M	11.762964	Shotgun	AmorimNatureCommunications2018	AmorimNatureCommunications2018	Hungary_Langobard.SG	PASS (literature)
SZ4.SG	Hungary	Szólád	46.28333333	17.85	1442.0	M	11.762964	Shotgun	AmorimNatureCommunications2018	AmorimNatureCommunications2018	Hungary_Langobard.SG	PASS (literature)
rath1.SG	Ireland	Rathlin Island, County Antrim	55.292132	-6.191685	3906.0	M	11.63	Shotgun	CassidyPNAS2016	..	Ireland_BA.SG	PASS (literature)
SZ15.SG	Hungary	Szólád	46.28333333	17.85	1442.0	M	10.826289	Shotgun	AmorimNatureCommunications2018	AmorimNatureCommunications2018	Hungary_Langobard.SG	PASS (literature)
SZ45.SG	Hungary	Szólád	46.28333333	17.85	1442.0	M	10.739735	Shotgun	AmorimNatureCommunications2018	AmorimNatureCommunications2018	Hungary_Langobard.SG	PASS (literature)
SZ11.SG	Hungary	Szólád	46.28333333	17.85	1442.0	M	9.279219	Shotgun	AmorimNatureCommunications2018	AmorimNatureCommunications2018	Hungary_Langobard.SG	PASS (literature)
POST_6	Germany	Haunstetten-Postillionstraße	48.29573	10.89103	3896.0	M	8.6017	1240k	MittnikScience2019	Mittnik, Alissa	Germany_Lech_EBA	PASS (literature)
Bichon.SG	Switzerland	Grotte du Bichon	47.09999847	6.869999886	13665.0	M	8.443	Shotgun	JonesNatureCommunications2015	..	Switzerland_Bichon.SG	PASS (literature)
I0160.SG	Great Britain	England, East Anglia, Hinxton	52.08	0.18	1995.0	M	8.439	Shotgun	SchiffelsNatureCommunications2016	Haak, Wolfgang	England_LIA.SG	PASS (literature)
