indivID	Country	Location	Lat	Long	AvgDate_calBP	Sex	Cov_Autosomes	Data_Type	Publication	Contact	Group_ID	Assessment
I1137_all_published	Vietnam	Man Bac	20.13333333	105.9833333	3764	M	0.136147	1240K	LipsonScience2018	Pinhasi, Ron	Vietnam_N_all_published	PASS (mtcontam=0.91-0.995)
I4451_all	Vanuatu	Efate, Mele-Taplins	-17.689401	168.289509	2260	M	1.549016	1240K	LipsonCurrentBiology2018	Pinhasi, Ron	Vanuatu_2300BP_all	PASS (Xcontam=0.011)
I1137	Vietnam	Man Bac	20.13333333	105.9833333	3764	M	0.102389	1240K	LipsonScience2018	Pinhasi, Ron	Vietnam_N_published	PASS (mtcontam=0.91-0.981)
I1781	Turkmenistan	Gonur	38.21228	62.03443	3841	M	0.345139	1240K	NarasimhanPattersonScience2019	Mallory, James; Dubova, Nadezhda	Turkmenistan_Gonur_BA_1	PASS
I2085	Turkmenistan	Gonur	38.21228	62.03443	3899	M	0.130472	1240K	NarasimhanPattersonScience2019	Mallory, James; Dubova, Nadezhda	Turkmenistan_Gonur_BA_1	PASS (mtcontam=0.978-0.999)
I2087	Turkmenistan	Gonur	38.21228	62.03443	4065	M	0.064651	1240K	NarasimhanPattersonScience2019	Mallory, James; Dubova, Nadezhda	Turkmenistan_Gonur_BA_1	PASS (mtcontam=0.977-0.999)
I2927	Iran	Tepe Hissar	36.15444444	54.38361111	4413	M	0.547576	1240K	NarasimhanPattersonScience2019	Pinhasi, Ron; Monge, Janet	Iran_C_TepeHissar	PASS
I3807	Spain	Granada, Lecrín, Torna Alta, Alquería de Mondújar	36.949194	-3.538	600	M	0.136811	1240K	OlaldeScience2019	Lalueza-Fox, Carles	Iberia_NazariPeriod_Muslim	PASS (mtcontam=0.957-0.964)
I3981	Spain	Granada, Fuentenueva	37.1775	-3.609166667	1450	M	0.654293	1240K	OlaldeScience2019	Lalueza-Fox, Carles	Iberia_Roman	PASS
I4055_published	Spain	Granada, Plaza Einstein	37.1775	-3.609166667	1450	M	0.049207	1240K	OlaldeScience2019	Lalueza-Fox, Carles	Iberia_Roman_published	PASS
I4246_published	Spain	Madrid, San Fernando de Henares, Camino de las Yeseras	40.439722	-3.506389	4202	M	1.128632	1240K	OlaldeScience2019	Allentoft, Morten	Iberia_BellBeaker_o_published	PASS (Xcontam=0.011)
I4451	Vanuatu	Efate, Mele-Taplins	-17.689401	168.289509	2260	M	1.133323	1240K	LipsonCurrentBiology2018	Pinhasi, Ron	Vanuatu_2300BP	PASS (Xcontam=0.01)
I7207	Czech Republic	Radovesice	50.410265	14.074597	4400	M	1.863154	1240K	NarasimhanPattersonScience2019	Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav	Czech_CordedWare	PASS (Xcontam=0.007)
I7208	Czech Republic	Radovesice	50.410265	14.074597	4330	M	1.96227	1240K	NarasimhanPattersonScience2019	Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav	Czech_CordedWare	PASS (Xcontam=0.006)
I7209	Czech Republic	Radovesice	50.410265	14.074597	4283	M	4.120915	1240K	NarasimhanPattersonScience2019	Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav	Czech_CordedWare	PASS (Xcontam=0.006)
I7271	Czech Republic	Brandysek	50.19	14.158	4200	M	0.198159	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker_brother.I7278	PASS
I7278	Czech Republic	Brandysek	50.19	14.158	4332	M	3.567538	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker	PASS (Xcontam=0.014)
I7041	Hungary	Szigetszentmiklos-Vozm-telep-dulo	47.429954	19.051966	4000	M	0.436679	1240K	OlaldeNature2018	Pinhasi, Ron	Hungary_EBA_Protonagyrev_brother.I7043	PASS
I7043	Hungary	Szigetszentmiklos-Vozm-telep-dulo	47.429954	19.051966	4007	M	4.096184	1240K	OlaldeNature2018	Pinhasi, Ron	Hungary_EBA_Protonagyrev	PASS (Xcontam=0.006)
I7282	Czech Republic	Radovesice	50.410265	14.074597	4200	M	3.173133	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker	PASS (Xcontam=0.005)
I7289	Czech Republic	Radovesice	50.410265	14.074597	4287	M	3.202805	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker_sibling.I7214	PASS
I7210	Czech Republic	Radovesice	50.410265	14.074597	4070	M	3.555845	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker_father.or.son.I7212	PASS
I7212	Czech Republic	Radovesice	50.410265	14.074597	4280	M	3.560543	1240K	OlaldeNature2018	Pinhasi, Ron	Czech_BellBeaker	PASS
