indivID,Publication
RISE479.SG,AllentoftNature2015
RISE98.SG,AllentoftNature2015
CL94,AmorimNatureCommunications2018
SZ18,AmorimNatureCommunications2018
CL92,AmorimNatureCommunications2018
SZ22,AmorimNatureCommunications2018
SZ7,AmorimNatureCommunications2018
SZ23,AmorimNatureCommunications2018
CL93,AmorimNatureCommunications2018
CL38,AmorimNatureCommunications2018
SZ36.SG,AmorimNatureCommunications2018
SZ3.SG,AmorimNatureCommunications2018
CL57,AmorimNatureCommunications2018
SZ5.SG,AmorimNatureCommunications2018
SZ2.SG,AmorimNatureCommunications2018
CL84,AmorimNatureCommunications2018
SZ16,AmorimNatureCommunications2018
SZ42,AmorimNatureCommunications2018
CL146,AmorimNatureCommunications2018
CL145,AmorimNatureCommunications2018
SZ27,AmorimNatureCommunications2018
CL121,AmorimNatureCommunications2018
SZ43.SG,AmorimNatureCommunications2018
SZ4.SG,AmorimNatureCommunications2018
SZ15.SG,AmorimNatureCommunications2018
CL30,AmorimNatureCommunications2018
SZ11.SG,AmorimNatureCommunications2018
SZ13,AmorimNatureCommunications2018
CL63,AmorimNatureCommunications2018
CL23,AmorimNatureCommunications2018
SZ45.SG,AmorimNatureCommunications2018
R36.SG,AntonioGaoMootsScience2019
R1286.SG,AntonioGaoMootsScience2019
R53.SG,AntonioGaoMootsScience2019
R68.SG,AntonioGaoMootsScience2019
R1221.SG,AntonioGaoMootsScience2019
R474.SG,AntonioGaoMootsScience2019
R4.SG,AntonioGaoMootsScience2019
R1287.SG,AntonioGaoMootsScience2019
R47.SG,AntonioGaoMootsScience2019
R115.SG,AntonioGaoMootsScience2019
R70.SG,AntonioGaoMootsScience2019
R108.SG,AntonioGaoMootsScience2019
R1224.SG,AntonioGaoMootsScience2019
R44.SG,AntonioGaoMootsScience2019
R105.SG,AntonioGaoMootsScience2019
R437.SG,AntonioGaoMootsScience2019
R1219.SG,AntonioGaoMootsScience2019
R59.SG,AntonioGaoMootsScience2019
R969.SG,AntonioGaoMootsScience2019
R111.SG,AntonioGaoMootsScience2019
R31.SG,AntonioGaoMootsScience2019
R63.SG,AntonioGaoMootsScience2019
R64.SG,AntonioGaoMootsScience2019
R136.SG,AntonioGaoMootsScience2019
R33.SG,AntonioGaoMootsScience2019
R1283.SG,AntonioGaoMootsScience2019
R58.SG,AntonioGaoMootsScience2019
R1545.SG,AntonioGaoMootsScience2019
R132.SG,AntonioGaoMootsScience2019
R107.SG,AntonioGaoMootsScience2019
R15.SG,AntonioGaoMootsScience2019
R61.SG,AntonioGaoMootsScience2019
R55.SG,AntonioGaoMootsScience2019
R7.SG,AntonioGaoMootsScience2019
R30.SG,AntonioGaoMootsScience2019
R130.SG,AntonioGaoMootsScience2019
R116.SG,AntonioGaoMootsScience2019
R34.SG,AntonioGaoMootsScience2019
R113.SG,AntonioGaoMootsScience2019
R851.SG,AntonioGaoMootsScience2019
R1547.SG,AntonioGaoMootsScience2019
R835.SG,AntonioGaoMootsScience2019
R1551.SG,AntonioGaoMootsScience2019
R104.SG,AntonioGaoMootsScience2019
R52.SG,AntonioGaoMootsScience2019
R1550.SG,AntonioGaoMootsScience2019
R27.SG,AntonioGaoMootsScience2019
R1548.SG,AntonioGaoMootsScience2019
R970.SG,AntonioGaoMootsScience2019
R1014.SG,AntonioGaoMootsScience2019
R123.SG,AntonioGaoMootsScience2019
R11.SG,AntonioGaoMootsScience2019
R32.SG,AntonioGaoMootsScience2019
R117.SG,AntonioGaoMootsScience2019
R128.SG,AntonioGaoMootsScience2019
R1543.SG,AntonioGaoMootsScience2019
R131.SG,AntonioGaoMootsScience2019
R1549.SG,AntonioGaoMootsScience2019
R1220.SG,AntonioGaoMootsScience2019
R850.SG,AntonioGaoMootsScience2019
R1285.SG,AntonioGaoMootsScience2019
R435.SG,AntonioGaoMootsScience2019
R76.SG,AntonioGaoMootsScience2019
R110.SG,AntonioGaoMootsScience2019
R9.SG,AntonioGaoMootsScience2019
R6.SG,AntonioGaoMootsScience2019
R118.SG,AntonioGaoMootsScience2019
I6757,BraceDiekmannNatureEcologyEvolution2019
I6753_all.SG,BraceDiekmannNatureEcologyEvolution2019
I6767_all.SG,BraceDiekmannNatureEcologyEvolution2019
I6760_all.SG,BraceDiekmannNatureEcologyEvolution2019
I6747_all.SG,BraceDiekmannNatureEcologyEvolution2019
I6762_all.SG,BraceNatureEcologyEvolution2019
rath1.SG,CassidyPNAS2016
rath3.SG,CassidyPNAS2016
rath2.SG,CassidyPNAS2016
N47.SG,FernandesScientificReports2018
N17.SG,FernandesScientificReports2018
N27.SG,FernandesScientificReports2018
N20.SG,FernandesScientificReports2018
N49.SG,FernandesScientificReports2018
N26.SG,FernandesScientificReports2018
N28.SG,FernandesScientificReports2018
Villabruna,FuNature2016
KO1_published.SG,GambaNatureCommunications2014
NE5.SG,GambaNatureCommunications2014
NE7.SG,GambaNatureCommunications2014
NE6.SG,GambaNatureCommunications2014
BR2.SG,GambaNatureCommunications2014
IR1.SG,GambaNatureCommunications2014
OC.SG,GonzalesFortesCurrentBiology2017
M95.SG,GonzalesFortesCurrentBiology2017
M96.SG,GonzalesFortesCurrentBiology2017
Bichon.SG,JonesNatureCommunications2015
I2793_published,LipsonNature2017
I2753,LipsonNature2017
I1904,LipsonNature2017
I2367_published,LipsonNature2017
I0449,LipsonNature2017
I5838,LipsonNature2017
I2369,LipsonNature2017
I3269,LipsonNature2017
I2377,LipsonNature2017
I1565,LipsonNature2017
I2379,LipsonNature2017
I1878_published,LipsonNature2017
I2739_published,LipsonNature2017
I2366_published,LipsonNature2017
I1877_all,LipsonNature2017
I2384_published,LipsonNature2017
I2783,LipsonNature2017
I1880,LipsonNature2017
I3276_published,LipsonNature2017
I2788,LipsonNature2017
I2791_published,LipsonNature2017
I0821_published,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)"
I0659_published,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)"
3DT26.SG,MartinianoNatureCommunications2016
6DT23.SG,MartinianoNatureCommunications2016
6DT21.SG,MartinianoNatureCommunications2016
3DT16.SG,MartinianoNatureCommunications2016
6DT3.SG,MartinianoNatureCommunications2016
6DT22.SG,MartinianoNatureCommunications2016
6DT18.SG,MartinianoNatureCommunications2016
NO3423.SG,MartinianoNatureCommunications2016
I0099_published,MathiesonNature2015
I0114,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0012,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0172,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0104,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0017,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0412,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0406,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)
I0585,MathiesonNature2015 (1240k of same same sample with shotgun in Olalde2014)
I1504,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)
I1495,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)
I1507,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)
I1496,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)
I1500,MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)
I4882,MathiesonNature2018
I4089,MathiesonNature2018
I4870,MathiesonNature2018
I5070,MathiesonNature2018
I5240,MathiesonNature2018
I5204,MathiesonNature2018
I4916,MathiesonNature2018
I4331,MathiesonNature2018
I5207,MathiesonNature2018
I5235,MathiesonNature2018
I5402,MathiesonNature2018
I4914_published,MathiesonNature2018
I5237,MathiesonNature2018
I5077,MathiesonNature2018
I4881_published,MathiesonNature2018
I4878,MathiesonNature2018
I1131,MathiesonNature2018
I4915,MathiesonNature2018
I5078,MathiesonNature2018
I3947,MathiesonNature2018
I5232,MathiesonNature2018
I5411,MathiesonNature2018
I3948,MathiesonNature2018
I0676,MathiesonNature2018
I0634,MathiesonNature2018
I5236,MathiesonNature2018
I4880,MathiesonNature2018
POST_6,MittnikScience2019
WEHR_1192SkA,MittnikScience2019
OBKR_80,MittnikScience2019
AITI_43,MittnikScience2019
UNTA85_1343,"MittnikScience2019 (higher coverage version of E09569, first published in OlaldeNature2018)"
I7207,NarasimhanPattersonScience2019
I6696,NarasimhanPattersonScience2019
I6677,NarasimhanPattersonScience2019
I7208,NarasimhanPattersonScience2019
I7949,NarasimhanPattersonScience2019
I7209,NarasimhanPattersonScience2019
LaBrana1_published.SG,OlaldeNature2014
I2787,OlaldeNature2018
I7279,OlaldeNature2018
I7572,OlaldeNature2018
I7286,OlaldeNature2018
I6774,OlaldeNature2018
I7043,OlaldeNature2018
I6581,OlaldeNature2018
I1382,OlaldeNature2018
I7249,OlaldeNature2018
I2478,OlaldeNature2018
I2606,OlaldeNature2018
I4304,OlaldeNature2018
I2660,OlaldeNature2018
I7287,OlaldeNature2018
I3875,OlaldeNature2018
I3135,OlaldeNature2018
I7042,OlaldeNature2018
I2452,OlaldeNature2018
I2445,OlaldeNature2018
I2860,OlaldeNature2018
I2932,OlaldeNature2018
I2630,OlaldeNature2018
I2935,OlaldeNature2018
I2447,OlaldeNature2018
I5835,OlaldeNature2018
I2859,OlaldeNature2018
I4893,OlaldeNature2018
I5514,OlaldeNature2018
I4889,OlaldeNature2018
I2933,OlaldeNature2018
I4888,OlaldeNature2018
I4886,OlaldeNature2018
I3134,OlaldeNature2018
I2978,OlaldeNature2018
I3132,OlaldeNature2018
I3133,OlaldeNature2018
I2979,OlaldeNature2018
I2618,OlaldeNature2018
I4887,OlaldeNature2018
I2977,OlaldeNature2018
I5748,OlaldeNature2018
I4884,OlaldeNature2018
I4895,OlaldeNature2018
I4891,OlaldeNature2018
I2631,OlaldeNature2018
I5377,OlaldeNature2018
I4070,OlaldeNature2018
I2602,OlaldeNature2018
I4303,OlaldeNature2018
I7276,OlaldeNature2018
I5833,OlaldeNature2018
I5118,OlaldeNature2018
I2417,OlaldeNature2018
I2650,OlaldeNature2018
I2597,OlaldeNature2018
I2635,OlaldeNature2018
I2365,OlaldeNature2018
I7289,OlaldeNature2018
I7282,OlaldeNature2018
I7269,OlaldeNature2018
I2786,OlaldeNature2018
I3256,OlaldeNature2018
I2364,OlaldeNature2018
I1767,OlaldeNature2018
I2567,OlaldeNature2018
I2741,OlaldeNature2018
I4073,OlaldeNature2018
I5379,OlaldeNature2018
I7280,OlaldeNature2018
I4885,OlaldeNature2018
I4069,OlaldeNature2018
I2691,OlaldeNature2018
I7044,OlaldeNature2018
I5750,OlaldeNature2018
I6759,OlaldeNature2018
I5513,OlaldeNature2018
I6680,OlaldeNature2018
I7272,OlaldeNature2018
I3041,OlaldeNature2018
I2655,OlaldeNature2018
I2457,OlaldeNature2018
I7275,OlaldeNature2018
I7554,OlaldeNature2018
I4074,OlaldeNature2018
I7640,OlaldeNature2018
I2637,OlaldeNature2018
I6531,OlaldeNature2018
I7212,OlaldeNature2018
I7210,OlaldeNature2018
I7251,OlaldeNature2018
I5519,OlaldeNature2018
I1381,OlaldeNature2018
I7278,OlaldeNature2018
I7606,OlaldeScience2019
I8209,OlaldeScience2019
I11248,OlaldeScience2019
I12209,OlaldeScience2019
I7642,OlaldeScience2019
I3759,OlaldeScience2019
I8364,OlaldeScience2019
I7602,OlaldeScience2019
EHU002,OlaldeScience2019
I8569,OlaldeScience2019
I7604,OlaldeScience2019
I8199,OlaldeScience2019
I3756,OlaldeScience2019
I1840,OlaldeScience2019
I10287_published,OlaldeScience2019
I3494,OlaldeScience2019
I8365,OlaldeScience2019
I0843,OlaldeScience2019
I11249,OlaldeScience2019
I4565,OlaldeScience2019
I10895,OlaldeScience2019
I12410,OlaldeScience2019
I3983,OlaldeScience2019
Loschbour_snpAD.DG,Pruefer2017
prs009-ALL_DATA.SG,SanchezQuintoPNAS2019
prs013-ALL_DATA.SG,SanchezQuintoPNAS2019
ans017.SG,SanchezQuintoPNAS2019
prs016-ALL_DATA.SG,SanchezQuintoPNAS2019
ans008.SG,SanchezQuintoPNAS2019
ans014.SG,SanchezQuintoPNAS2019
I0156.SG,SchiffelsNatureCommunications2016
I0160.SG,SchiffelsNatureCommunications2016
RISE1162.SG,SchroederPNAS2019
RISE1241.SG,SchroederPNAS2019
RISE1173.SG,SchroederPNAS2019
RISE1168.SG,SchroederPNAS2019
RISE1160.SG,SchroederPNAS2019
RISE1163.SG,SchroederPNAS2019
RISE1169.SG,SchroederPNAS2019
RISE1165.SG,SchroederPNAS2019
RISE1171.SG,SchroederPNAS2019
Ajvide58.SG,SkoglundScience2014
