ANC_ID,MOD_ID,rec_rate_mean,rec_rate_se,corr_piA_piB,se_corr_piA_piB,mask
LBK,SS6004468,1.1294855592719343e-05,7.72479995900732e-07,0.19641875765535544,0.004993303793159005,pilot
LBK,SS6004468,1.4336333488581327e-05,9.849541028621491e-07,0.19017136188776046,0.004866298817698562,pilot
LBK,SS6004468,1.8199060949404327e-05,1.250296533277874e-06,0.1747572624543743,0.0047706825154817875,pilot
LBK,SS6004468,2.3083423655149776e-05,1.5882627755084183e-06,0.14776822670550693,0.004682997487284967,pilot
LBK,SS6004468,2.9316301009312543e-05,2.006729143862302e-06,0.14555745691577385,0.004541695708669522,pilot
LBK,SS6004468,3.72114309111297e-05,2.554040228214154e-06,0.09226809314645036,0.004419161187542221,pilot
LBK,SS6004468,4.723082567126616e-05,3.237297276822172e-06,0.10475952319388818,0.0042461528369654705,pilot
LBK,SS6004468,5.9966857974149546e-05,4.111823432986075e-06,0.09506085384023763,0.0040484051521298145,pilot
LBK,SS6004468,7.609846475042897e-05,5.226822328485682e-06,0.08002424806905349,0.0038318638000040726,pilot
LBK,SS6004468,9.64657086230729e-05,6.627202307909517e-06,0.047644056987310945,0.0036698657366315184,pilot
LBK,SS6004468,0.00012222355858552687,8.403044985245147e-06,0.08131173786445686,0.0035503087548414444,pilot
LBK,SS6004468,0.00015521763597509428,1.067430259490721e-05,0.06092719155039995,0.0034972409221051227,pilot
LBK,SS6004468,0.00019704106182464806,1.3540881361505258e-05,0.07537220736374109,0.0034427271276272525,pilot
LBK,SS6004468,0.0002498022544394753,1.72190717699425e-05,0.05304934377333452,0.003415711513352701,pilot
LBK,SS6004468,0.0003167563512731767,2.171787068317947e-05,0.052666929756804814,0.003454619514473277,pilot
LBK,SS6004468,0.00040192733895945507,2.7704977666729035e-05,0.05052957403672141,0.00353661419130646,pilot
LBK,SS6004468,0.0005094298917248385,3.498335824510218e-05,0.034016336685408134,0.003615613647025564,pilot
LBK,SS6004468,0.0006466220236975419,4.461490627142622e-05,0.0343761215328379,0.0037678686776974873,pilot
LBK,SS6004468,0.0008201237538716693,5.634370558022596e-05,0.030771263896579228,0.00399076953736619,pilot
LBK,SS6004468,0.001040124243829134,7.143421278294387e-05,0.027620697160896657,0.004248736227535114,pilot
LBK,SS6004468,0.0013191686849223434,9.065052166634147e-05,0.036448129020096524,0.0046603379038241775,pilot
LBK,SS6004468,0.0016725383864069883,0.00011494083829430968,0.029669270691771207,0.005099263821917923,pilot
LBK,SS6004468,0.0021178158568572075,0.00014578488777408584,0.022941189657308434,0.005879685936706085,pilot
LBK,SS6004468,0.0026792826069192773,0.00018356913234440268,0.025132947007871585,0.006982607680497618,pilot
LBK,SS6004468,0.00339680082390197,0.0002284283927233987,0.02065155028429629,0.00863974381197144,pilot
LBK,SS6004468,0.004301014102529314,0.00029081123904929233,0.010374520223505294,0.011092041790528317,pilot
LBK,SS6004468,0.005449059586613284,0.0003729260748543595,0.0001754983494996139,0.0157212492821556,pilot
LBK,SS6004468,0.006827533418481879,0.0004583002333330975,0.023052148981711762,0.025500438186589734,pilot
LBK,SS6004468,0.008632333097447107,0.000523576126104832,0.14769772440864387,0.043881223501551624,pilot
LBK,SS6004474,1.129328226067668e-05,7.749184078408233e-07,0.2084789780106761,0.004917502538863564,pilot
LBK,SS6004474,1.4342370006068701e-05,9.82152733308608e-07,0.1840068976892,0.004834960289176552,pilot
LBK,SS6004474,1.8210387609497437e-05,1.2471843843445508e-06,0.20383233397686884,0.004727566279947048,pilot
LBK,SS6004474,2.308975498229624e-05,1.5847268770283532e-06,0.17340619707560517,0.004626924372019814,pilot
LBK,SS6004474,2.9303755486266866e-05,2.012911715229654e-06,0.1420943598537572,0.004493394593621761,pilot
LBK,SS6004474,3.719331427575094e-05,2.5523748967631804e-06,0.10951156120852865,0.0043881683776769015,pilot
LBK,SS6004474,4.722273976537909e-05,3.2342231433036423e-06,0.1097787338971817,0.004220477486909417,pilot
LBK,SS6004474,5.990716705476904e-05,4.128007534244069e-06,0.10359423407036945,0.004035740316104733,pilot
LBK,SS6004474,7.610648120683361e-05,5.227184573546959e-06,0.08851850687394747,0.0038444437648995273,pilot
LBK,SS6004474,9.650310048621318e-05,6.624994267116768e-06,0.07410339337017208,0.0036459192693890953,pilot
LBK,SS6004474,0.000122260387869303,8.391244037703289e-06,0.03834464298020809,0.0035665509193595524,pilot
LBK,SS6004474,0.00015522259694014705,1.0655644704253373e-05,0.0661210102177016,0.0035061907139229066,pilot
LBK,SS6004474,0.00019684822478501095,1.3541614329483214e-05,0.06213444270693628,0.0034516212698902232,pilot
LBK,SS6004474,0.0002498273170389565,1.7208797677953074e-05,0.03845352469298851,0.003427495346221976,pilot
LBK,SS6004474,0.0003168006351814259,2.1815908347623647e-05,0.04375958490783802,0.0034541645731819433,pilot
LBK,SS6004474,0.00040173451601992893,2.7572841431460118e-05,0.03797519128745585,0.0035256315724982038,pilot
LBK,SS6004474,0.0005094675829133265,3.51441884866058e-05,0.03607261920732698,0.0036105360950670295,pilot
LBK,SS6004474,0.0006464184989295276,4.46051576826213e-05,0.0378623050992925,0.0037771234566680058,pilot
LBK,SS6004474,0.000820201202237906,5.6395792825620996e-05,0.03600255576544048,0.003971250900817848,pilot
LBK,SS6004474,0.0010406782997721864,7.182780654798633e-05,0.03820852852979906,0.004233320017792546,pilot
LBK,SS6004474,0.0013189719241328167,9.06890558919531e-05,0.0293960364347812,0.004653836638920652,pilot
LBK,SS6004474,0.0016721230903540992,0.00011492627555726498,0.03609685262753207,0.005081023330772052,pilot
LBK,SS6004474,0.0021181416340396576,0.0001454327362560027,0.030715712520342636,0.0058670042384178014,pilot
LBK,SS6004474,0.002679510782211505,0.00018315510748043035,0.013279717472457897,0.007084449922646302,pilot
LBK,SS6004474,0.003400795400245746,0.00023201268687142028,0.013726349285430213,0.00858644168745689,pilot
LBK,SS6004474,0.004299997616663462,0.0002922968610913781,-0.011162972124695457,0.011075605865010878,pilot
LBK,SS6004474,0.005445168504046578,0.0003809590168396231,0.04339963884668855,0.01592439957633769,pilot
LBK,SS6004474,0.006848026617711869,0.0004555367488202895,0.06877127316960038,0.025905978034048985,pilot
LBK,SS6004474,0.008677986311499122,0.0005302583976116435,0.04653567075385833,0.044897963584502695,pilot
UstIshim,SS6004468,1.1297337054084747e-05,7.755752566597687e-07,0.12679698801591305,0.005040824308683986,pilot
UstIshim,SS6004468,1.4334899608630752e-05,9.841940243285719e-07,0.22917429935637768,0.004843552723362543,pilot
UstIshim,SS6004468,1.8192290880636843e-05,1.2547346260583689e-06,0.1562956465633955,0.004834635903454762,pilot
UstIshim,SS6004468,2.3102150080952955e-05,1.5848127465007726e-06,0.17682605390156586,0.004693470402900546,pilot
UstIshim,SS6004468,2.9316583176854723e-05,2.008360306860609e-06,0.14435910916612488,0.004591727956360034,pilot
UstIshim,SS6004468,3.721000266223336e-05,2.5569924895588643e-06,0.06802787492738137,0.004463293675992567,pilot
UstIshim,SS6004468,4.7224016883399945e-05,3.242374653346324e-06,0.1053454847043917,0.004268711352015392,pilot
UstIshim,SS6004468,5.9965571947274805e-05,4.117171072979573e-06,0.04560536512139112,0.004068685018728871,pilot
UstIshim,SS6004468,7.608321003143647e-05,5.229707083054104e-06,0.07126079261720951,0.003852796616360081,pilot
UstIshim,SS6004468,9.64902932615731e-05,6.616617252371753e-06,0.0712722387545459,0.003676599984117728,pilot
UstIshim,SS6004468,0.00012236418214857638,8.421791617782567e-06,0.04407711185067782,0.0035935566271069227,pilot
UstIshim,SS6004468,0.00015517865733002102,1.0646285016608802e-05,0.05714685035915147,0.003526825621454435,pilot
UstIshim,SS6004468,0.00019684614803895285,1.3519249004509414e-05,0.057887094615462376,0.0034694546316267364,pilot
UstIshim,SS6004468,0.0002497218168370711,1.7171345929581423e-05,0.05137403857571326,0.003423972385672178,pilot
UstIshim,SS6004468,0.00031678140339873973,2.1751598496454496e-05,0.04818607222709221,0.003465140437010405,pilot
UstIshim,SS6004468,0.00040178941446149496,2.7651479555491603e-05,0.044115084746236946,0.003526146547118501,pilot
UstIshim,SS6004468,0.00050953033876416,3.507069997533483e-05,0.04496488407749652,0.0036266961091609164,pilot
UstIshim,SS6004468,0.0006464718947208068,4.430767471367463e-05,0.04694701165851173,0.0037718956222312894,pilot
UstIshim,SS6004468,0.0008200615239684417,5.639662696018777e-05,0.0352715721811153,0.00398887253640745,pilot
UstIshim,SS6004468,0.0010413348125072747,7.184586142260359e-05,0.03288631141418989,0.004270724782945129,pilot
UstIshim,SS6004468,0.0013191134197290961,9.071526376995578e-05,0.03959071070327076,0.0046356476768313224,pilot
UstIshim,SS6004468,0.0016729885976315348,0.00011464213917159296,0.046642268072301346,0.005095957466588306,pilot
UstIshim,SS6004468,0.0021167009806688413,0.00014492014007413083,0.03334693935199595,0.005888052733124549,pilot
UstIshim,SS6004468,0.0026782404096433957,0.00018283938714967922,0.03236605370055399,0.006996017760556305,pilot
UstIshim,SS6004468,0.003397831385022292,0.00022988706279548926,0.014852948964571136,0.008555132499669433,pilot
UstIshim,SS6004468,0.004309850556287418,0.000291683952225887,0.001456846066949915,0.011096040840513494,pilot
UstIshim,SS6004468,0.005447908791687653,0.00037464722889554773,0.030144277539956472,0.015576124948608557,pilot
UstIshim,SS6004468,0.00683919489104865,0.0004558512620182649,0.002542418350832164,0.024397422972188818,pilot
UstIshim,SS6004468,0.00866454455570818,0.0005440688654558361,0.07841495927701109,0.042127593056298804,pilot
UstIshim,SS6004474,1.129719220814437e-05,7.763481027672635e-07,0.25086224817673664,0.0049547165633141346,pilot
UstIshim,SS6004474,1.4339279105257743e-05,9.845490046033868e-07,0.147622006737536,0.004930450035529461,pilot
UstIshim,SS6004474,1.8204557961708558e-05,1.2507014899549716e-06,0.18754480069872922,0.0047553080787402216,pilot
UstIshim,SS6004474,2.3100355714995192e-05,1.586324231002948e-06,0.16792914004316636,0.004669516975953485,pilot
UstIshim,SS6004474,2.9311166647453823e-05,2.0067713327414437e-06,0.15584993268000708,0.00454754478736041,pilot
UstIshim,SS6004474,3.719138720593961e-05,2.5557615937099894e-06,0.14042275619527536,0.0044265851379477255,pilot
UstIshim,SS6004474,4.7205022495340564e-05,3.24900921531188e-06,0.11205473700054705,0.004260227397209607,pilot
UstIshim,SS6004474,5.99014798178099e-05,4.125284863755483e-06,0.09833770117606781,0.00405197199076567,pilot
UstIshim,SS6004474,7.608799071689034e-05,5.225525217404034e-06,0.08030579658315261,0.0038624643526288718,pilot
UstIshim,SS6004474,9.649948453804283e-05,6.606445443012416e-06,0.06310465028791477,0.00368198051835332,pilot
UstIshim,SS6004474,0.00012233422630016596,8.413808742240947e-06,0.07005259763699699,0.0035764809247616925,pilot
UstIshim,SS6004474,0.00015527230414902712,1.0669085672229231e-05,0.052384056984429585,0.0035235078146422186,pilot
UstIshim,SS6004474,0.00019697081417181783,1.3541515055166214e-05,0.038949753023895355,0.0034748910895256125,pilot
UstIshim,SS6004474,0.0002498232113231681,1.715895999391745e-05,0.04517472789415606,0.0034295176203711264,pilot
UstIshim,SS6004474,0.0003168556973389874,2.1756264349847587e-05,0.049587935082197235,0.003465423775209022,pilot
UstIshim,SS6004474,0.00040188281074965713,2.7708528681472877e-05,0.04545278338036021,0.0035280232223723713,pilot
