scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,0,1000,1.2172139269364097e-07,1.351064130279792e-08,0.22894286966475194,0.0013127686473060978,24,10000
SerialConstant,200,0,1000,1.7924347840296303e-07,2.0093595166351925e-08,0.2279120680762927,0.0013125613965925618,24,10000
SerialConstant,200,0,1000,2.6225352621582054e-07,2.9101960406707305e-08,0.22950912748662247,0.0013127619162855127,24,10000
SerialConstant,200,0,1000,3.861496371652161e-07,4.327914995562003e-08,0.2269634406484208,0.0013130163626053563,24,10000
SerialConstant,200,0,1000,5.649833548250392e-07,6.270916010650134e-08,0.22498909485995253,0.0013140279926529403,24,10000
SerialConstant,200,0,1000,8.318910168042774e-07,9.32144546076569e-08,0.2263106950074656,0.0013133906463324407,24,10000
SerialConstant,200,0,1000,1.2171636270520288e-06,1.3513129637483837e-07,0.2233858865485081,0.0013143556554522776,24,10000
SerialConstant,200,0,1000,1.792490161760184e-06,2.0097378185834323e-07,0.2179570286289082,0.001315528811879263,24,10000
SerialConstant,200,0,1000,2.6226027233129714e-06,2.909837164853114e-07,0.21698343341933532,0.001316733029896024,24,10000
SerialConstant,200,0,1000,3.86111242332735e-06,4.3255958275393304e-07,0.21087450611391817,0.0013182162724319523,24,10000
SerialConstant,200,0,1000,5.649315858553223e-06,6.273579890518729e-07,0.20683873028663227,0.0013191075458876514,24,10000
SerialConstant,200,0,1000,8.319622014106838e-06,9.326325043823469e-07,0.19353455729001073,0.0013226140049419249,24,10000
SerialConstant,200,0,1000,1.2172480791005254e-05,1.3509381593375724e-06,0.18287887374511785,0.001325957344555228,24,10000
SerialConstant,200,0,1000,1.79262934382514e-05,2.0107187646938584e-06,0.16339419620278162,0.0013295871907867054,24,10000
SerialConstant,200,0,1000,2.622757541693404e-05,2.909201255770252e-06,0.14378356058255062,0.0013350880016280361,24,10000
SerialConstant,200,0,1000,3.8619201393797036e-05,4.330957412393828e-06,0.12513299950665585,0.001337271330314168,24,10000
SerialConstant,200,0,1000,5.650299876341317e-05,6.269063201414285e-06,0.0955640321484516,0.0013427656970427442,24,10000
SerialConstant,200,0,1000,8.317442706526697e-05,9.313417008041571e-06,0.06557816247056261,0.0013460969662207538,24,10000
SerialConstant,200,0,2000,1.2171725627306773e-07,1.3512528568524408e-08,0.3113736612540539,0.0012814338852359336,24,10000
SerialConstant,200,0,2000,1.792341906706537e-07,2.008807172907925e-08,0.3091096255436465,0.001282177269567931,24,10000
SerialConstant,200,0,2000,2.622412233598443e-07,2.9107321408274152e-08,0.30537814928563334,0.0012841750396294868,24,10000
SerialConstant,200,0,2000,3.861598919913113e-07,4.328537891569042e-08,0.30311002482035876,0.001284694099437926,24,10000
SerialConstant,200,0,2000,5.649965780249465e-07,6.270293042305103e-08,0.3103021709137307,0.0012821150877524864,24,10000
SerialConstant,200,0,2000,8.31916514583516e-07,9.323109310142847e-08,0.30600965674038794,0.0012835923248373257,24,10000
SerialConstant,200,0,2000,1.2171971470085551e-06,1.3511658548293492e-07,0.3047351843586375,0.001284393228517683,24,10000
SerialConstant,200,0,2000,1.7925692006865072e-06,2.0102231978566388e-07,0.30014773846860066,0.0012856491107952111,24,10000
SerialConstant,200,0,2000,2.622703497036355e-06,2.909332337456392e-07,0.29338528671427777,0.0012896487686137115,24,10000
SerialConstant,200,0,2000,3.86190700013477e-06,4.330553178402929e-07,0.28884165280129614,0.0012904036341608892,24,10000
SerialConstant,200,0,2000,5.650344213538984e-06,6.268523884585907e-07,0.282890368129075,0.0012938500413234922,24,10000
SerialConstant,200,0,2000,8.319917724697222e-06,9.328174520405175e-07,0.2669456872822143,0.0012990657748256482,24,10000
SerialConstant,200,0,2000,1.2172870509742882e-05,1.350743706243613e-06,0.25506215936227467,0.0013042100551646446,24,10000
SerialConstant,200,0,2000,1.7925191456659654e-05,2.0100283351029007e-06,0.23039406705173648,0.0013116426409621941,24,10000
SerialConstant,200,0,2000,2.6226140242043353e-05,2.909906511284882e-06,0.2086034155959006,0.00131922475817391,24,10000
SerialConstant,200,0,2000,3.862124608572154e-05,4.332221491515006e-06,0.1786015935473126,0.0013260216614963778,24,10000
SerialConstant,200,0,2000,5.650561023713047e-05,6.2677833929420195e-06,0.14871124301267669,0.0013341136820739206,24,10000
SerialConstant,200,0,2000,8.319408350489476e-05,9.325695914747767e-06,0.1157450514731344,0.0013391508193608646,24,10000
SerialConstant,200,0,500,1.2172780366373977e-07,1.350762339538226e-08,0.1477202529752149,0.0013339875268570385,24,10000
SerialConstant,200,0,500,1.7924952371616528e-07,2.0097589243193936e-08,0.14631159749498218,0.0013334163209899356,24,10000
SerialConstant,200,0,500,2.6226168967411626e-07,2.909770751030768e-08,0.14442863214492077,0.0013347390012487077,24,10000
SerialConstant,200,0,500,3.861844861948442e-07,4.3300755318600984e-08,0.144200161618579,0.0013338099246716754,24,10000
SerialConstant,200,0,500,5.650285584047914e-07,6.268799901406872e-08,0.14293674173527718,0.0013350566836249301,24,10000
SerialConstant,200,0,500,8.319815100822431e-07,9.327134301081013e-08,0.140671007604375,0.001334610855896786,24,10000
SerialConstant,200,0,500,1.2172797558216973e-06,1.3507462994180473e-07,0.14152906474260438,0.0013352129228783901,24,10000
SerialConstant,200,0,500,1.7924027947931106e-06,2.0091875254166632e-07,0.13987592239534624,0.00133484881251191,24,10000
SerialConstant,200,0,500,2.6224878069338757e-06,2.9104270544755316e-07,0.13970242408063377,0.0013354765963352945,24,10000
SerialConstant,200,0,500,3.861961821932088e-06,4.330883487594418e-07,0.13535869323304026,0.0013354024977498128,24,10000
SerialConstant,200,0,500,5.650418096659067e-06,6.268170654431703e-07,0.12691981785093623,0.0013380889459945566,24,10000
SerialConstant,200,0,500,8.319566960270806e-06,9.325982748347094e-07,0.11759017879432163,0.001338772213755497,24,10000
SerialConstant,200,0,500,1.2172404024451706e-05,1.3509748323940658e-06,0.11751062345230441,0.0013393351430823386,24,10000
SerialConstant,200,0,500,1.7926123292839074e-05,2.0106180734956177e-06,0.09948036533980452,0.0013410455410853106,24,10000
SerialConstant,200,0,500,2.6227345736925388e-05,2.9093080214250136e-06,0.08902898211053573,0.0013437173047196101,24,10000
SerialConstant,200,0,500,3.861940753805872e-05,4.331078802290528e-06,0.07166672727465957,0.0013443826336428056,24,10000
SerialConstant,200,0,500,5.650325276074518e-05,6.26894792916384e-06,0.05947646131962853,0.0013465685443961317,24,10000
SerialConstant,200,0,500,8.320121606871823e-05,9.330116181480056e-06,0.04640438606863097,0.0013464747353990373,24,10000
SerialConstant,200,1000,1000,1.217136557201066e-07,1.3514449835572574e-08,0.22687693871936987,0.0013131855637058786,24,10000
SerialConstant,200,1000,1000,1.7923543066924026e-07,2.0088550415744805e-08,0.2277001040944564,0.0013127713893882217,24,10000
SerialConstant,200,1000,1000,2.622429168996709e-07,2.910667845195546e-08,0.22636944229191974,0.0013136098958955364,24,10000
SerialConstant,200,1000,1000,3.8611402050986765e-07,4.3256595988926135e-08,0.22433781927727398,0.0013141360900636512,24,10000
SerialConstant,200,1000,1000,5.64938432769042e-07,6.273266123530521e-08,0.2291120166297579,0.001312432159749243,24,10000
SerialConstant,200,1000,1000,8.318824549525825e-07,9.320971809593071e-08,0.2231950281679345,0.0013143895160044412,24,10000
SerialConstant,200,1000,1000,1.217153698510076e-06,1.3513641605505624e-07,0.2183471652165148,0.0013158643999232195,24,10000
SerialConstant,200,1000,1000,1.7921252062867528e-06,2.0074583672259304e-07,0.21872795222583666,0.0013159611788567914,24,10000
SerialConstant,200,1000,1000,2.622131965002093e-06,2.9121855768752726e-07,0.21678747962042458,0.001316126216742315,24,10000
SerialConstant,200,1000,1000,3.861268089021815e-06,4.326546087622635e-07,0.2140378866359186,0.0013171558358015976,24,10000
SerialConstant,200,1000,1000,5.6495202614751884e-06,6.27260762587184e-07,0.2013345484014676,0.0013207879188506292,24,10000
SerialConstant,200,1000,1000,8.31801861864254e-06,9.316287873574201e-07,0.19579044647881153,0.001322642792928855,24,10000
SerialConstant,200,1000,1000,1.2170404115058512e-05,1.351950799297974e-06,0.18031358955867532,0.001325962071636059,24,10000
SerialConstant,200,1000,1000,1.79231096357924e-05,2.008738220745082e-06,0.16271211578038186,0.0013303239717067817,24,10000
SerialConstant,200,1000,1000,2.622345714472031e-05,2.911222936288268e-06,0.14747167895413515,0.0013337682544921458,24,10000
SerialConstant,200,1000,1000,3.861098338791323e-05,4.325828919014119e-06,0.11444813347621473,0.0013397150858579351,24,10000
SerialConstant,200,1000,1000,5.649234548880177e-05,6.274303935066784e-06,0.09200110280520814,0.0013425101796675672,24,10000
SerialConstant,200,1000,1000,8.317117353184442e-05,9.311384696628514e-06,0.07342727132931733,0.0013454890282971403,24,10000
SerialConstant,200,1000,2000,1.2170992742910914e-07,1.3516284083707207e-08,0.30888214171954564,0.0012823002211131492,24,10000
SerialConstant,200,1000,2000,1.7922715568818693e-07,2.00834266195653e-08,0.3106898893150008,0.0012816156251894352,24,10000
SerialConstant,200,1000,2000,2.6223210376287466e-07,2.911217114213829e-08,0.30926795876800156,0.0012823526327476879,24,10000
SerialConstant,200,1000,2000,3.861269837822427e-07,4.3264929246500337e-08,0.3043195819559462,0.001284441613852197,24,10000
SerialConstant,200,1000,2000,5.649544708283818e-07,6.272454965897556e-08,0.3094400836720375,0.0012822269997296212,24,10000
SerialConstant,200,1000,2000,8.320360968452598e-07,9.330504373133797e-08,0.3052407317881162,0.001283466716517754,24,10000
SerialConstant,200,1000,2000,1.2173532336564902e-06,1.350392902059021e-07,0.30512032694749297,0.0012846860926088587,24,10000
SerialConstant,200,1000,2000,1.7922758745585699e-06,2.0083877541386919e-07,0.29549925454359455,0.0012881233064622926,24,10000
SerialConstant,200,1000,2000,2.6223262421169325e-06,2.9112152947960675e-07,0.2958442738130251,0.001288105784600525,24,10000
SerialConstant,200,1000,2000,3.861123452346494e-06,4.325637012309731e-07,0.288692029013436,0.0012911143501365852,24,10000
