indivID,Country,Location,Lat,Long,AvgDate_calBP,Sex,Cov_Autosomes,Data_Type,Publication,Contact,Group_ID,Assessment,panelID,scale_marginal,se_marginal,se_scale_marginal_fd,scale_jt,se_scale_jt,eps_jt,se_eps_jt,nsnps,nref_haps
I1137_all_published,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.136147,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_all_published,PASS (mtcontam=0.91-0.995),ceu,1375.2458059912326,47.23799286457085,46.31812225027897,1268.975115594649,1.0154567251704316,0.08103439690269874,0.003232578286945742,1403,49
I1137_all_published,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.136147,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_all_published,PASS (mtcontam=0.91-0.995),eur,974.1434079084419,15.615193630533225,15.821732379284846,672.6509472894562,6.342667154154212,0.05708795296141489,0.0012663436923304589,1603,240
I1137_all_published,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.136147,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_all_published,PASS (mtcontam=0.91-0.995),fullkg,188.7626186085321,1.026638946676044,1.0177369260493112,188.7391818382911,1.000000000000019,0.01387309790238842,4.8111064685856315e-05,2223,1233
I4451_all,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.549016,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP_all,PASS (Xcontam=0.011),ceu,1120.4474671025866,10.79730893867847,10.845776045395306,923.8598175264074,5.585431362405722,0.035392739801561164,0.0003879421166181565,11503,49
I4451_all,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.549016,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP_all,PASS (Xcontam=0.011),eur,796.8984181396094,3.8075249635199246,3.7708752413207063,672.9935314714168,28.33114063578341,0.024265215074307244,0.00035493167758997583,13150,240
I4451_all,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.549016,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP_all,PASS (Xcontam=0.011),fullkg,414.46586061549215,0.9473862958228452,0.932068692045086,357.818830866521,196.2019695710876,0.009115215220694823,0.0021617112566474947,18089,1233
I1137,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.102389,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_published,PASS (mtcontam=0.91-0.981),ceu,1311.934977325558,54.53209846733564,54.05039544648043,923.7600145809096,1.2882588958637022,0.11079528449504199,0.0033565531707446285,1112,49
I1137,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.102389,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_published,PASS (mtcontam=0.91-0.981),eur,902.1936896415464,16.039390966249496,16.171576590563944,672.5651028433655,4.248445342005589,0.05657884322675068,0.0014760231480698926,1278,240
I1137,Vietnam,Man Bac,20.13333333,105.9833333,3764,M,0.102389,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_published,PASS (mtcontam=0.91-0.981),fullkg,149.301399430023,0.8603623890227932,0.9048211144474924,137.82904026379128,36.935052762340455,0.0131021327579753,0.0002632405357571705,1754,1233
I1781,Turkmenistan,Gonur,38.21228,62.03443,3841,M,0.345139,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS,ceu,703.0350776202796,11.134433634727003,11.057721308841131,672.3480845307721,1.2130743955957597,0.01895900879031866,0.0010356416102673325,3718,49
I1781,Turkmenistan,Gonur,38.21228,62.03443,3841,M,0.345139,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS,eur,419.4057594632013,3.598085054877365,3.5061404561671075,356.41033100143335,17.261583622065586,0.011765623316623073,0.00015948071437782725,4217,240
I1781,Turkmenistan,Gonur,38.21228,62.03443,3841,M,0.345139,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS,fullkg,210.6789785780193,0.7019213382572634,0.6789788914103563,189.509020623225,131.9796715038621,0.0068243679964592316,0.001238461362879576,5816,1233
I2085,Turkmenistan,Gonur,38.21228,62.03443,3899,M,0.130472,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.978-0.999),ceu,1017.0369653503748,32.769816316227825,33.105191792363556,923.6785813777592,1.0392374892332958,0.028316911645989817,0.0019773685588135173,1598,49
I2085,Turkmenistan,Gonur,38.21228,62.03443,3899,M,0.130472,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.978-0.999),eur,647.6052580962618,9.341139319872688,9.410894158723684,489.5129606224224,6.9304185812366175,0.018909903544702844,0.0006114890112464238,1788,240
I2085,Turkmenistan,Gonur,38.21228,62.03443,3899,M,0.130472,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.978-0.999),fullkg,261.7605598157162,1.4755923382657778,1.5003005044117894,259.3186834820449,2.8406203473964355,0.010140916998496235,5.799829400584889e-05,2473,1233
I2087,Turkmenistan,Gonur,38.21228,62.03443,4065,M,0.064651,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.977-0.999),ceu,968.2063548712109,54.66871715284741,55.47778887875929,672.3687663547151,1.1338237108290652,0.06280363479922152,0.003934522306906262,742,49
I2087,Turkmenistan,Gonur,38.21228,62.03443,4065,M,0.064651,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.977-0.999),eur,538.2908205789078,20.477331840814898,21.663106688065962,356.36380478947035,3.2044692998305373,0.04666426785515231,0.0003339657881931092,848,240
I2087,Turkmenistan,Gonur,38.21228,62.03443,4065,M,0.064651,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.977-0.999),fullkg,138.67398971836812,1.1211150128303558,1.163590463879172,137.39664736186754,2.548987137449016,0.0070852485919600545,8.928766445839713e-05,1159,1233
I2927,Iran,Tepe Hissar,36.15444444,54.38361111,4413,M,0.5475760000000001,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Monge, Janet",Iran_C_TepeHissar,PASS,ceu,813.8326007929451,11.282933619969134,11.194776650824638,672.3878988174806,3.7994432484337817,0.01537759070490966,0.000652018797931823,4954,49
I2927,Iran,Tepe Hissar,36.15444444,54.38361111,4413,M,0.5475760000000001,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Monge, Janet",Iran_C_TepeHissar,PASS,eur,462.47316473452287,3.0284774613955303,3.0391207483080334,489.31805245477113,5.940503491001617,0.013302292502102252,6.959128729609e-05,5668,240
I2927,Iran,Tepe Hissar,36.15444444,54.38361111,4413,M,0.5475760000000001,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Monge, Janet",Iran_C_TepeHissar,PASS,fullkg,267.7419060993604,0.7585415672438695,0.7670826799186147,259.57451404314924,34.81702830805377,0.009048833102925676,0.00012369498489853492,7892,1233
I3807,Spain,"Granada, Lecrín, Torna Alta, Alquería de Mondújar",36.949194,-3.538,600,M,0.136811,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_NazariPeriod_Muslim,PASS (mtcontam=0.957-0.964),ceu,313982.3330290462,36368.8542416871,15134.890893473044,108263.67262466381,1.0000417701793638,0.08444573677303427,0.0035028142063147365,1551,49
I3807,Spain,"Granada, Lecrín, Torna Alta, Alquería de Mondújar",36.949194,-3.538,600,M,0.136811,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_NazariPeriod_Muslim,PASS (mtcontam=0.957-0.964),eur,2483.401659434197,,,673.0813422652402,10.248619745769435,0.07426402299360378,0.0011169537816901113,1772,240
I3807,Spain,"Granada, Lecrín, Torna Alta, Alquería de Mondújar",36.949194,-3.538,600,M,0.136811,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_NazariPeriod_Muslim,PASS (mtcontam=0.957-0.964),fullkg,1035.7081046251628,,,356.7698466504232,79.01522585382305,0.045490855870099066,0.00212556191428885,2459,1233
I3981,Spain,"Granada, Fuentenueva",37.1775,-3.609166667,1450,M,0.654293,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman,PASS,ceu,718.6468323908812,9.168704281048841,9.073033189035336,672.3665097705958,1.8701483097348368,0.020466422683702915,0.0005866028223394515,6895,49
I3981,Spain,"Granada, Fuentenueva",37.1775,-3.609166667,1450,M,0.654293,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman,PASS,eur,381.4325095147502,2.267808183677912,2.235408161489498,356.39579334922837,13.079613260702226,0.014112245101762018,6.43017876205029e-05,7926,240
I3981,Spain,"Granada, Fuentenueva",37.1775,-3.609166667,1450,M,0.654293,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman,PASS,fullkg,242.41385263415185,0.6091571162686505,0.6079093228748975,192.70577071151868,452.2745699404039,0.00972673564470937,0.0024613710993105736,10886,1233
I4055_published,Spain,"Granada, Plaza Einstein",37.1775,-3.609166667,1450,M,0.049207,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman_published,PASS,ceu,1107.8436115855447,72.739023583373,71.55640196016842,923.6768187124704,1.0080134885302376,0.047997149612100234,0.0008963282188777263,607,49
I4055_published,Spain,"Granada, Plaza Einstein",37.1775,-3.609166667,1450,M,0.049207,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman_published,PASS,eur,1090.2090558842501,36.06487862225215,36.3251795636403,923.6835713950093,1.1226809849552468,0.02591769639716956,0.0012203991119086872,711,240
I4055_published,Spain,"Granada, Plaza Einstein",37.1775,-3.609166667,1450,M,0.049207,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman_published,PASS,fullkg,162.5485879934113,1.9795783813310293,2.106874496645396,137.78994103896468,28.54301905493359,0.01538975930923,0.003505041154671797,990,1233
I4246_published,Spain,"Madrid, San Fernando de Henares, Camino de las Yeseras",40.439722,-3.506389,4202,M,1.128632,1240K,OlaldeScience2019,"Allentoft, Morten",Iberia_BellBeaker_o_published,PASS (Xcontam=0.011),ceu,998.5125762871356,11.041003213972056,11.069111586982892,923.7202182906076,1.9891080096635971,0.029713377086821983,0.0005360358478458956,10105,49
I4246_published,Spain,"Madrid, San Fernando de Henares, Camino de las Yeseras",40.439722,-3.506389,4202,M,1.128632,1240K,OlaldeScience2019,"Allentoft, Morten",Iberia_BellBeaker_o_published,PASS (Xcontam=0.011),eur,472.8654159067394,2.540030245437677,2.5564887800302207,357.4427570164052,65.76012786574482,0.0195122288604564,0.0013024457794592608,11553,240
I4246_published,Spain,"Madrid, San Fernando de Henares, Camino de las Yeseras",40.439722,-3.506389,4202,M,1.128632,1240K,OlaldeScience2019,"Allentoft, Morten",Iberia_BellBeaker_o_published,PASS (Xcontam=0.011),fullkg,230.2653005419823,0.5227688087038433,0.5166097281534949,193.5940245309988,437.3476223703498,0.012076863068544207,0.0015782826143779431,15839,1233
I4451,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.1333229999999999,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP,PASS (Xcontam=0.01),ceu,1054.2652174026448,10.591308986022042,10.589955891087902,923.7722612863188,3.616370954839085,0.030183385077248374,0.0005514611312814046,9871,49
I4451,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.1333229999999999,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP,PASS (Xcontam=0.01),eur,762.3174454443288,3.829598687002517,3.776873280486128,672.7267730793527,18.526001781676733,0.022162568396802643,0.0002629479465614973,11306,240
I4451,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260,M,1.1333229999999999,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP,PASS (Xcontam=0.01),fullkg,402.5077284006848,0.958782465831394,0.9410209497809428,357.65020209669166,147.7665048373929,0.010643353522751215,0.000358503718623874,15544,1233
I7207,Czech Republic,Radovesice,50.410265,14.074597,4400,M,1.863154,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.007),ceu,463.5354104040378,4.519468091868033,4.528419270105572,489.3649865012882,2.8252742037583576,0.010499534591118064,0.0002709383236344834,12268,49
I7207,Czech Republic,Radovesice,50.410265,14.074597,4400,M,1.863154,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.007),eur,209.62529776343945,1.0757576324205735,1.05185665489129,188.97043408025368,45.545287317710184,0.006068429198155142,0.0003768210199498804,14060,240
I7207,Czech Republic,Radovesice,50.410265,14.074597,4400,M,1.863154,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.007),fullkg,156.93034499334138,0.35961143210048707,0.3669589354778538,138.73726751690378,360.8333217171057,0.004663681920284563,0.0034404492658975994,19355,1233
I7208,Czech Republic,Radovesice,50.410265,14.074597,4330,M,1.9622700000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),ceu,391.0061257028183,4.059120974790721,4.000697787860753,356.28449029935655,5.673303684467317,0.011690441401592576,9.27108129692535e-05,12899,49
I7208,Czech Republic,Radovesice,50.410265,14.074597,4330,M,1.9622700000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),eur,208.9977283891945,1.0872910943183185,1.0636058078236097,188.8803051593259,43.988190015628064,0.004198574710173214,0.0002642133322161842,14757,240
I7208,Czech Republic,Radovesice,50.410265,14.074597,4330,M,1.9622700000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),fullkg,158.6238843438267,0.3663862871175397,0.3737815631117185,138.80714175494666,391.20014029666834,0.004528543698396576,0.00436114412039314,20362,1233
I7209,Czech Republic,Radovesice,50.410265,14.074597,4283,M,4.120915,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),ceu,447.6249592253906,4.48834309037392,4.479032219431209,356.40144906893374,13.896382006298394,0.013745042023263713,8.857345777357051e-05,14691,49
I7209,Czech Republic,Radovesice,50.410265,14.074597,4283,M,4.120915,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),eur,216.11433510376528,1.0922998708318707,1.0677326371642162,188.93207642183347,59.914786071003434,0.004202833527354353,0.00027123725794728405,16723,240
I7209,Czech Republic,Radovesice,50.410265,14.074597,4283,M,4.120915,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),fullkg,171.77017884344156,0.3822844667356685,0.3874803847602295,139.55840296149918,630.0603405732993,0.0041913076186076035,0.006379080079271759,22916,1233
I7271,Czech Republic,Brandysek,50.19,14.158,4200,M,0.198159,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_brother.I7278,PASS,ceu,466.85156324302477,11.871425103181744,11.930410627273412,356.306328933554,3.3096616977805398,0.02684424676863897,0.0013585822889269409,2000,49
I7271,Czech Republic,Brandysek,50.19,14.158,4200,M,0.198159,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_brother.I7278,PASS,eur,264.0677550276736,3.02738078823631,3.098900764419536,259.3137328289074,1.6220424684512509,0.017465695330799433,0.00045547216243725235,2275,240
