scales_true,scales_marg_hat,scales_jt_hat,eps_jt_hat,se_scales_jt_hat,se_eps_jt_hat
100,123.41042752250962,104.13268882293248,0.5,1.592689509971147,0.00014464153551845135
200,222.02881693048894,184.69974757448736,0.5,2.0182808998733934,0.0003417707941586809
300,306.87988003404456,228.7938584890168,0.5,1.0,1.0
400,402.457213035851,294.5152923551472,0.5,2.9663794765771985,0.0013754435231536073
500,455.3031587121771,291.6184390139706,0.5,2.81395652852131,0.0017916457269172522
600,610.4807423877593,408.77323259233043,0.5,6.347442618980142,0.0031712379399719253
700,743.1193842392119,475.5165812627388,0.5,4.486854328514942,0.004326261656410828
800,795.755527316255,492.4065447476155,0.5,7.117834244183142,0.005168798680498091
900,972.8341630760985,575.5382674363458,0.5,6.960709766327765,0.006790043350679887
100,106.98874936039634,94.45279872940723,0.5,1.453766247332571,0.00014398957374480578
200,221.9361359615021,176.76707830194053,0.5,2.069006593367804,0.00035762752304679653
300,272.04370615105245,224.54584928893047,0.5,2.7038314631210403,0.0005659185332544302
400,381.5618248725043,246.70173331055923,0.5,2.27254819437282,0.001325159852369326
500,496.6595665311093,332.0929534370828,0.5,4.249200539209682,0.002122033608192926
600,514.5295836322953,338.50621030077866,0.5,4.013866096392637,0.0023197088422090705
700,675.0570386497442,379.72748944387087,0.5,3.721243436949482,0.0037016849843655515
800,742.1058730989538,418.43000334045894,0.5,4.245033290778868,0.004348915388996745
900,868.6735180614028,471.4193753621081,0.5,4.820231821195454,0.0055296174625973325
100,96.0808008733312,84.19833148587794,0.5,1.949773570277194,0.00014065353062350268
200,168.14421505670708,133.67417476868243,0.5,1.6959738083558928,0.000180139206998714
300,309.31770920139036,236.8877629313311,0.5,2.9869696888873354,0.0007567193337552859
400,421.999217799615,311.7123404557676,0.5,3.0703612519888357,0.001408725493867497
500,512.9026382677569,325.9217157840667,0.5,2.561327195317927,0.002303314624682531
600,568.8603403872555,365.28644097750526,0.5,3.65462496060973,0.002692044357852242
700,617.7089853778015,430.50853373588944,0.5,3.3856248545832823,0.0030082093874215527
800,765.3640292285256,488.98472133405204,0.5,4.349150010263095,0.00442183397442613
900,917.4084416838416,538.8989967885593,0.5,4.935820546829193,0.005715917559721726
100,114.18439724274417,102.08573392815777,0.5,1.9935212560096993,0.00014078910705964592
200,227.18307129403144,168.21161069808042,0.5,1.8489744095032423,0.000346929539472951
300,272.8497730588196,222.36968834112588,0.5,2.268416946231451,0.0005732361547590772
400,353.9877004750365,244.903885839909,0.5,2.305919797071231,0.0010180556438816335
500,572.0060931616208,385.0514273408983,0.5,3.448423372991592,0.002664588208363407
600,624.5125462362241,425.8464954985506,0.5,1.0,1.0
700,653.1079784588132,431.4088261410836,0.5,4.034460964796122,0.0032721135449395415
800,872.8726209325264,580.2739303799327,0.5,7.888481664465831,0.005188844503050382
900,975.616033688538,603.3524851729128,0.5,4.668405084301295,0.006509471569481886
