scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
DivergenceMigration1,0.0,3.0,0.0022888979517000727,1646017962.5555062,40154.27183712472,10000,10038.56795928118,20000,42
DivergenceMigration1,0.0,3.07,0.021851069637910468,1568193366.2617106,39917.92224765294,10000,9979.480561913235,20000,42
DivergenceMigration1,0.0,3.14,0.023452830654911015,1594826397.3394723,40051.131191333225,10000,10012.782797833306,20000,42
DivergenceMigration1,0.0,3.21,0.024697654326017497,1601162167.089254,39878.29985532347,10000,9969.574963830868,20000,42
DivergenceMigration1,0.0,3.28,0.00644186235970046,1658009829.8031852,40272.3100556048,10000,10068.0775139012,20000,42
DivergenceMigration1,0.0,3.34,0.029641493848722996,1620814349.3977678,39997.369188041106,10000,9999.342297010277,20000,42
DivergenceMigration1,0.0,3.41,0.038299376086748695,1534815110.529081,39568.170044083614,10000,9892.042511020903,20000,42
DivergenceMigration1,0.0,3.48,0.04929632508199234,1591586083.7618678,39992.85313462291,10000,9998.213283655727,20000,42
DivergenceMigration1,0.0,3.55,0.0592598932062318,1604454322.6143398,40090.38066721574,10000,10022.595166803934,20000,42
DivergenceMigration1,0.0,3.62,0.058265295313578866,1598559962.0145657,39840.83376753068,10000,9960.20844188267,20000,42
DivergenceMigration1,0.0,3.69,0.06553721626219075,1572933890.1670418,39867.04812196838,10000,9966.762030492095,20000,42
DivergenceMigration1,0.0,3.76,0.08373993445836495,1583127736.269619,40121.05986662854,10000,10030.264966657134,20000,42
DivergenceMigration1,0.0,3.83,0.09165748806106563,1602472682.456512,40205.93360177199,10000,10051.483400442998,20000,42
DivergenceMigration1,0.0,3.9,0.10051271407039428,1600546034.650555,40054.08061185896,10000,10013.52015296474,20000,42
DivergenceMigration1,0.0,3.97,0.1291300180711748,1599401868.2007844,40154.01834394847,10000,10038.504585987117,20000,42
DivergenceMigration1,0.0,4.03,0.1454387300439296,1595273985.4822206,39967.00786475889,10000,9991.751966189722,20000,42
DivergenceMigration1,0.0,4.1,0.15611041295058037,1622091067.7764764,40385.63348064884,10000,10096.40837016221,20000,42
DivergenceMigration1,0.0,4.17,0.19987581129127535,1556212651.8742893,39744.87554434185,10000,9936.218886085462,20000,42
DivergenceMigration1,0.0,4.24,0.23802326171665897,1566373888.9553812,39860.82966359613,10000,9965.207415899033,20000,42
DivergenceMigration1,0.0,4.31,0.26982860215126037,1584883957.382698,40233.1061167849,10000,10058.276529196224,20000,42
DivergenceMigration1,0.0,4.38,0.30460476619156024,1596689965.3313432,40048.788962107275,10000,10012.197240526819,20000,42
DivergenceMigration1,0.0,4.45,0.3302087770081087,1552416865.2684596,39409.64695786875,10000,9852.411739467187,20000,42
DivergenceMigration1,0.0,4.52,0.3637313275584959,1615556083.012174,40106.75660925228,10000,10026.68915231307,20000,42
DivergenceMigration1,0.0,4.59,0.4201958531577329,1628852462.3456147,40402.1132222381,10000,10100.528305559525,20000,42
DivergenceMigration1,0.0,4.66,0.44337961853331503,1593425285.6542945,40191.19630377727,10000,10047.799075944318,20000,42
DivergenceMigration1,0.0,4.72,0.48820738961576815,1574051096.5205514,39991.25294390872,10000,9997.81323597718,20000,42
DivergenceMigration1,0.0,4.79,0.5163891135348149,1557757029.4552567,39619.36831530409,10000,9904.842078826023,20000,42
DivergenceMigration1,0.0,4.86,0.5721051367292779,1619182472.5036726,40038.50404457655,10000,10009.626011144137,20000,42
DivergenceMigration1,0.0,4.93,0.621097974324162,1607392976.9123955,39946.67429684527,10000,9986.668574211317,20000,42
DivergenceMigration1,0.0,5.0,0.6509527672315046,1631397186.2403324,40144.349174600946,10000,10036.087293650236,20000,42
DivergenceMigration1,233.0,3.0,0.009761414568613354,1556879317.7612011,40220.54612544015,10000,10055.136531360038,20000,42
DivergenceMigration1,233.0,3.07,0.011867664822042821,1605222910.246984,40539.19190424025,10000,10134.797976060063,20000,42
DivergenceMigration1,233.0,3.14,0.012043408973006351,1659095994.1926215,40184.115513121986,10000,10046.028878280496,20000,42
DivergenceMigration1,233.0,3.21,0.013872710655175102,1565466373.3135498,40121.56845792499,10000,10030.392114481247,20000,42
DivergenceMigration1,233.0,3.28,0.025736369781684303,1606147209.8119185,40053.13972738331,10000,10013.284931845828,20000,42
DivergenceMigration1,233.0,3.34,0.03567659643165082,1568501246.4569426,40203.43713365439,10000,10050.859283413598,20000,42
DivergenceMigration1,233.0,3.41,0.020027059856715285,1646762379.3563147,40462.33954764241,10000,10115.584886910603,20000,42
