scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB,nreps
Two-Locus Tennessen,0,42,0.0001,0.06395164539735046,0.014116010134136244,5000
Two-Locus Tennessen,0,42,0.00010476157527896651,0.06268455399867404,0.014117147264116364,5000
Two-Locus Tennessen,0,42,0.00010974987654930556,0.07127950053065582,0.014108985503912033,5000
Two-Locus Tennessen,0,42,0.00011497569953977356,0.06414852652818755,0.014115831395537685,5000
Two-Locus Tennessen,0,42,0.00012045035402587823,0.06880765617901988,0.014111440549851272,5000
Two-Locus Tennessen,0,42,0.0001261856883066021,0.04637951242742072,0.01412974338141386,5000
Two-Locus Tennessen,0,42,0.00013219411484660288,0.07531029913708849,0.014104795279220608,5000
Two-Locus Tennessen,0,42,0.00013848863713938732,0.06946695909405448,0.014110794241448451,5000
Two-Locus Tennessen,0,42,0.000145082877849594,0.05702854044884723,0.014121944655152565,5000
Two-Locus Tennessen,0,42,0.0001519911082952933,0.0754158010877743,0.014104682492581833,5000
Two-Locus Tennessen,0,42,0.00015922827933410923,0.06328665010558755,0.0141166097719057,5000
Two-Locus Tennessen,0,42,0.0001668100537200059,0.047114765594168335,0.014129256672955354,5000
Two-Locus Tennessen,0,42,0.0001747528400007683,0.034245157885303155,0.014136668348273498,5000
Two-Locus Tennessen,0,42,0.0001830738280295368,0.06533112365088604,0.014114746164214736,5000
Two-Locus Tennessen,0,42,0.00019179102616724886,0.06636856131636638,0.01411377774738855,5000
Two-Locus Tennessen,0,42,0.00020092330025650479,0.057718246061021106,0.014121384004721753,5000
Two-Locus Tennessen,0,42,0.00021049041445120198,0.06031018785730758,0.014119216591545964,5000
Two-Locus Tennessen,0,42,0.00022051307399030456,0.05712022455621809,0.01412187051633322,5000
Two-Locus Tennessen,0,42,0.00023101297000831605,0.07663061919409223,0.014103372351500191,5000
Two-Locus Tennessen,0,42,0.00024201282647943835,0.06372778911693569,0.014116212691907087,5000
Two-Locus Tennessen,0,42,0.00025353644939701115,0.044874027463476567,0.014130716018161139,5000
Two-Locus Tennessen,0,42,0.00026560877829466864,0.018607774436410148,0.014142515845771003,5000
Two-Locus Tennessen,0,42,0.0002782559402207126,0.05294394359554986,0.014125126386885479,5000
Two-Locus Tennessen,0,42,0.0002915053062825176,0.0321550496994199,0.014137650434909383,5000
Two-Locus Tennessen,0,42,0.0003053855508833416,0.02556761957514873,0.014140340839650108,5000
Two-Locus Tennessen,0,42,0.00031992671377973844,0.014830879736346891,0.014143409186282261,5000
Two-Locus Tennessen,0,42,0.0003351602650938841,0.04056279980627134,0.014133323465740468,5000
Two-Locus Tennessen,0,42,0.0003511191734215131,0.03340085274156193,0.014137072516435688,5000
Two-Locus Tennessen,0,42,0.0003678379771828634,0.02444466882276545,0.014140738164026605,5000
Two-Locus Tennessen,0,42,0.0003853528593710527,0.009636692925073898,0.014144308092319601,5000
Two-Locus Tennessen,0,42,0.0004037017258596554,0.003454599034961037,0.014144880494609498,5000
Two-Locus Tennessen,0,42,0.0004229242874389499,0.024168744296617792,0.014140833059748439,5000
Two-Locus Tennessen,0,42,0.0004430621457583882,0.027524973283788414,0.014139605600856215,5000
Two-Locus Tennessen,0,42,0.0004641588833612782,0.003894396956743206,0.014144857635673894,5000
Two-Locus Tennessen,0,42,0.00048626015800653534,0.019633687907888674,0.014142238324316127,5000
