scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
SerialConstant,0.0,4,0.26551394375490905,403822738.2162895,20010.806640243518,5000,5002.7016600608795,50000,42
SerialConstant,0.0,4,0.14463806494855969,1554691239.673032,39695.98607989534,10000,9923.996519973834,50000,42
SerialConstant,0.0,4,0.07065652855806118,6447380855.266022,80139.49491960305,20000,20034.873729900763,50000,42
SerialConstant,20.0,4,0.25108436086993774,395485195.4612475,19916.718591583893,5000,4979.179647895973,50000,42
SerialConstant,20.0,4,0.13478208687459897,1575482898.962465,39646.18452211525,10000,9911.546130528812,50000,42
SerialConstant,20.0,4,0.0738254460953388,6290174991.807701,79895.41867287183,20000,19973.85466821796,50000,42
SerialConstant,40.0,4,0.25550828119650737,397043870.82654905,20022.230380949335,5000,5005.557595237334,50000,42
SerialConstant,40.0,4,0.13897951913655554,1586142787.8179646,40323.06357818841,10000,10080.765894547103,50000,42
SerialConstant,40.0,4,0.06920518954318919,6369633972.499405,80159.68697838273,20000,20039.921744595682,50000,42
SerialConstant,60.0,4,0.2564783578474935,399662269.4664982,20119.34578515614,5000,5029.836446289035,50000,42
SerialConstant,60.0,4,0.1403697776378688,1558536946.3367112,39904.23658024095,10000,9976.059145060237,50000,42
SerialConstant,60.0,4,0.0731774020316747,6503556744.982431,80376.65308254347,20000,20094.16327063587,50000,42
SerialConstant,80.0,4,0.24361196697938897,402056779.1872715,20074.12266604705,5000,5018.530666511762,50000,42
SerialConstant,80.0,4,0.14054867858576192,1561431032.4395473,39990.49347726473,10000,9997.623369316183,50000,42
SerialConstant,80.0,4,0.0707024343879468,6415266528.2270775,80263.14986617076,20000,20065.78746654269,50000,42
SerialConstant,100.0,4,0.25338216065256725,388788779.7971221,20065.186806092614,5000,5016.296701523153,50000,42
SerialConstant,100.0,4,0.13134407671394135,1656729632.4921975,40546.27325970204,10000,10136.56831492551,50000,42
SerialConstant,100.0,4,0.07176912672450877,6391576655.631649,80056.4482818369,20000,20014.112070459225,50000,42
SerialConstant,120.0,4,0.2527318334401829,399448698.1908774,20066.569947849704,5000,5016.642486962426,50000,42
SerialConstant,120.0,4,0.13939159958269356,1614754277.9592006,39946.01733788272,10000,9986.50433447068,50000,42
SerialConstant,120.0,4,0.07108979210970537,6478835924.734519,80859.30262739537,20000,20214.825656848843,50000,42
SerialConstant,140.0,4,0.25797494361316275,401187126.1831813,20147.126445829974,5000,5036.781611457493,50000,42
SerialConstant,140.0,4,0.14473517977960892,1634120141.1239753,40476.71247668317,10000,10119.178119170792,50000,42
SerialConstant,140.0,4,0.06919663136424709,6513713806.26298,80532.66969088805,20000,20133.167422722014,50000,42
SerialConstant,160.0,4,0.24594606355331938,401933037.8724035,20202.74782949837,5000,5050.686957374593,50000,42
SerialConstant,160.0,4,0.12983024249638606,1583048700.383353,39949.22256933975,10000,9987.305642334937,50000,42
SerialConstant,160.0,4,0.07395477666757178,6292285923.702718,80126.92746621801,20000,20031.731866554503,50000,42
SerialConstant,180.0,4,0.25496700615783807,405514568.73281246,20341.512853113752,5000,5085.378213278438,50000,42
SerialConstant,180.0,4,0.13588471071500263,1602784580.3665981,39983.4855395587,10000,9995.871384889675,50000,42
SerialConstant,180.0,4,0.0689521980944554,6522066180.118599,80345.64184869462,20000,20086.410462173655,50000,42
SerialConstant,200.0,4,0.24393456592320995,408354384.2452085,20350.405509194323,5000,5087.601377298581,50000,42
SerialConstant,200.0,4,0.13771758969319972,1623559635.8138905,40490.83405698566,10000,10122.708514246415,50000,42
SerialConstant,200.0,4,0.07181411942920032,6317445594.09799,79973.85794961175,20000,19993.464487402936,50000,42
SerialConstant,220.0,4,0.24547937879518833,393102475.0356675,20163.666882226225,5000,5040.916720556556,50000,42
SerialConstant,220.0,4,0.13637307632784507,1606200490.7625062,40328.210750656894,10000,10082.052687664223,50000,42
SerialConstant,220.0,4,0.07361746501213123,6351977871.98375,80103.34488679809,20000,20025.836221699523,50000,42
SerialConstant,240.0,4,0.24195488599230366,402640628.6087936,20255.102161135048,5000,5063.775540283762,50000,42
SerialConstant,240.0,4,0.13021572431776884,1580802823.272096,40095.318623165535,10000,10023.829655791384,50000,42
SerialConstant,240.0,4,0.06849634914641484,6467382728.000853,80022.17351831116,20000,20005.54337957779,50000,42
SerialConstant,260.0,4,0.24513606747557778,409370654.638243,20453.771136163665,5000,5113.442784040916,50000,42
SerialConstant,260.0,4,0.13088179599516683,1556313952.748631,39693.67156070786,10000,9923.417890176965,50000,42
SerialConstant,260.0,4,0.06674400731386956,6390017133.661927,80044.03458421769,20000,20011.008646054423,50000,42
SerialConstant,280.0,4,0.25072886384999055,394103102.40585095,20273.604773324525,5000,5068.401193331131,50000,42
SerialConstant,280.0,4,0.1345647506713818,1610259239.0070212,40405.30765332777,10000,10101.326913331943,50000,42
SerialConstant,280.0,4,0.07004544769077976,6398907932.822496,80001.65706157078,20000,20000.414265392694,50000,42
SerialConstant,300.0,4,0.24156626064313513,399680607.9516966,20305.042484854006,5000,5076.2606212135015,50000,42
SerialConstant,300.0,4,0.1305170966782606,1545850711.9527001,39892.43523339107,10000,9973.108808347768,50000,42
SerialConstant,300.0,4,0.06351233135728568,6426286550.15809,80437.36031130869,20000,20109.34007782717,50000,42
SerialConstant,320.0,4,0.2402414820870697,399719988.78538597,20363.38475520612,5000,5090.84618880153,50000,42
SerialConstant,320.0,4,0.12886218680887096,1608179522.8030002,40190.3219458573,10000,10047.580486464325,50000,42
