scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
Tennessen,0.0,3.0,0.009669891001257638,998324446.2630501,27359.093308057774,10000.0,6839.773327014444,20000,42
Tennessen,0.0,3.07,0.02884882830605074,1034283308.0009817,27918.476552494747,10000.0,6979.619138123687,20000,42
Tennessen,0.0,3.14,0.032176808912280065,1014136219.111809,27957.23476502444,10000.0,6989.30869125611,20000,42
Tennessen,0.0,3.21,0.03493858116934581,1001647619.1915818,27656.265197773308,10000.0,6914.066299443327,20000,42
Tennessen,0.0,3.28,0.05109221693059243,1037165128.7818141,28074.59456840189,10000.0,7018.648642100473,20000,42
Tennessen,0.0,3.34,0.0651877160555421,1017567048.4097525,27761.98752817621,10000.0,6940.496882044053,20000,42
Tennessen,0.0,3.41,0.07545941893830553,1010860118.4421059,27884.390703960424,10000.0,6971.097675990106,20000,42
Tennessen,0.0,3.48,0.10366475853572621,1007603973.0697194,27834.9839411215,10000.0,6958.745985280375,20000,42
Tennessen,0.0,3.55,0.11918458813252986,1001889672.2620279,27609.093354507317,10000.0,6902.273338626829,20000,42
Tennessen,0.0,3.62,0.1452975834761046,958177909.6191126,27535.56633801341,10000.0,6883.8915845033525,20000,42
Tennessen,0.0,3.69,0.17453068431729135,974575551.8074874,27292.645356466215,10000.0,6823.161339116554,20000,42
Tennessen,0.0,3.76,0.19251064771826354,999083688.8525822,27867.773493455446,10000.0,6966.943373363862,20000,42
Tennessen,0.0,3.83,0.21385159858604783,1011763571.005359,27616.24860183891,10000.0,6904.0621504597275,20000,42
Tennessen,0.0,3.9,0.2364169518958365,1003496194.9098381,27771.500967119704,10000.0,6942.875241779926,20000,42
Tennessen,0.0,3.97,0.2673937751231891,1005974302.9064915,28100.334457151144,10000.0,7025.083614287786,20000,42
Tennessen,0.0,4.03,0.2769808714446586,1004868752.3407567,27588.662804857635,10000.0,6897.165701214409,20000,42
Tennessen,0.0,4.1,0.3171089268490615,1001958217.9721956,27602.145230554914,10000.0,6900.536307638728,20000,42
Tennessen,0.0,4.17,0.35923082559201847,1006407813.2759087,27833.803391924877,10000.0,6958.450847981219,20000,42
Tennessen,0.0,4.24,0.3753603057910819,1007785458.8486637,27767.543237967737,10000.0,6941.885809491934,20000,42
Tennessen,0.0,4.31,0.41851222132545585,980643584.8279314,27554.615839841557,10000.0,6888.653959960389,20000,42
Tennessen,0.0,4.38,0.4584733477225619,1002086884.0594049,27664.046626870357,10000.0,6916.011656717589,20000,42
Tennessen,0.0,4.45,0.48129143527975715,973739191.754137,27453.340603937133,10000.0,6863.335150984283,20000,42
Tennessen,0.0,4.52,0.5336749668346593,1009037364.9841294,27847.007125437867,10000.0,6961.751781359467,20000,42
Tennessen,0.0,4.59,0.5471640914945355,989931212.4760478,27343.377658207333,10000.0,6835.844414551833,20000,42
Tennessen,0.0,4.66,0.6019923114305346,1008175209.6511718,27694.470463132016,10000.0,6923.617615783004,20000,42
Tennessen,0.0,4.72,0.6301000669802148,994324577.3841412,27419.907034062762,10000.0,6854.976758515691,20000,42
