scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB
Two-Locus Theory,1.0,42,0.0001,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.00011497569953977356,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.00013219411484660288,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.0001519911082952933,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.0001747528400007683,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.00020092330025650479,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.00023101297000831605,0.5321459486429371,0.026800320963570743
Two-Locus Theory,1.0,42,0.00026560877829466864,0.5302266241132793,0.026838411423497275
Two-Locus Theory,1.0,42,0.0003053855508833416,0.5284268254678762,0.026873955963799434
Two-Locus Theory,1.0,42,0.0003511191734215131,0.528480269919734,0.026872902897264687
Two-Locus Theory,1.0,42,0.0004037017258596554,0.5291926045158292,0.026858852977972417
Two-Locus Theory,1.0,42,0.0004641588833612782,0.5218961743492853,0.02700152862887901
Two-Locus Theory,1.0,42,0.0005336699231206312,0.5189308203022642,0.0270587352632845
Two-Locus Theory,1.0,42,0.0006135907273413176,0.5218961743492853,0.02700152862887901
Two-Locus Theory,1.0,42,0.0007054802310718645,0.521385037665697,0.027011421218640856
Two-Locus Theory,1.0,42,0.0008111308307896872,0.5199079301627402,0.02703993454641568
Two-Locus Theory,1.0,42,0.0009326033468832199,0.5257993821296785,0.02692554511447208
Two-Locus Theory,1.0,42,0.0010722672220103231,0.5203703844026092,0.027031019497362918
Two-Locus Theory,1.0,42,0.0012328467394420659,0.5128270419468469,0.027175087779797994
Two-Locus Theory,1.0,42,0.0014174741629268048,0.5215782849675317,0.02700768265689078
Two-Locus Theory,1.0,42,0.0016297508346206436,0.521069085419713,0.027017529532211336
Two-Locus Theory,1.0,42,0.001873817422860383,0.5216084166962264,0.027007099557053976
Two-Locus Theory,1.0,42,0.0021544346900318843,0.5180298256148322,0.027076028556978275
Two-Locus Theory,1.0,42,0.0024770763559917113,0.5166653121574426,0.02710214027023895
Two-Locus Theory,1.0,42,0.002848035868435802,0.5005611764482374,0.027403291579873753
Two-Locus Theory,1.0,42,0.0032745491628777285,0.4966095163329523,0.027475239140345796
Two-Locus Theory,1.0,42,0.0037649358067924675,0.5430596953276382,0.02658005202481622
Two-Locus Theory,1.0,42,0.004328761281083062,0.51902716419903,0.02705688364777014
Two-Locus Theory,1.0,42,0.004977023564332114,0.5259646557856897,0.026922310496485607
