indivID,Country,Location,Lat,Long,AvgDate_calBP,Sex,Cov_Autosomes,Data_Type,Publication,Contact,Group_ID,Assessment,snps_per25kb,mle_lambda_jt,mle_eps_jt,mle_lambda_marginal,nsnps,npanel
I1137_all_published,Vietnam,Man Bac,20.13333333,105.9833333,3764.0,M,0.136147,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_all_published,PASS (mtcontam=0.91-0.995),0.38037109375,10.0,0.9,915.9122470744458,1603.0,240.0
I4451_all,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260.0,M,1.549016,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP_all,PASS (Xcontam=0.011),3.09375,97.05104823356137,0.9,754.9273407385787,13150.0,240.0
I1137,Vietnam,Man Bac,20.13333333,105.9833333,3764.0,M,0.102389,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_published,PASS (mtcontam=0.91-0.981),0.2998046875,10.0,0.9,855.6642272074565,1278.0,240.0
I1781,Turkmenistan,Gonur,38.21228,62.03443,3841.0,M,0.345139,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS,0.994140625,10.0,0.9,406.3418682139412,4217.0,240.0
I2085,Turkmenistan,Gonur,38.21228,62.03443,3899.0,M,0.130472,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.978-0.999),0.422607421875,10.0,0.9,633.3487312019728,1788.0,240.0
I2087,Turkmenistan,Gonur,38.21228,62.03443,4065.0,M,0.064651,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.977-0.999),0.198486328125,43.29178032274927,0.9,497.4282973294179,848.0,240.0
I2927,Iran,Tepe Hissar,36.15444444,54.38361111,4413.0,M,0.5475760000000001,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Monge, Janet",Iran_C_TepeHissar,PASS,1.349609375,39.65248249181647,0.9,450.8527434368219,5668.0,240.0
I3807,Spain,"Granada, Lecrín, Torna Alta, Alquería de Mondújar",36.949194,-3.538,600.0,M,0.136811,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_NazariPeriod_Muslim,PASS (mtcontam=0.957-0.964),0.420654296875,15.319103131745312,0.9,142113.4072733405,1772.0,240.0
I3981,Spain,"Granada, Fuentenueva",37.1775,-3.609166667,1450.0,M,0.654293,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman,PASS,1.8642578125,38.10201525288047,0.9,371.46012863086355,7926.0,240.0
I4055_published,Spain,"Granada, Plaza Einstein",37.1775,-3.609166667,1450.0,M,0.049207,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman_published,PASS,0.1690673828125,21.95460705680189,0.9,1047.3080073507263,711.0,240.0
I4246_published,Spain,"Madrid, San Fernando de Henares, Camino de las Yeseras",40.439722,-3.506389,4202.0,M,1.128632,1240K,OlaldeScience2019,"Allentoft, Morten",Iberia_BellBeaker_o_published,PASS (Xcontam=0.011),2.708984375,29.108951540267462,0.9,451.7124406223812,11553.0,240.0
I4451,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260.0,M,1.1333229999999999,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP,PASS (Xcontam=0.01),2.658203125,91.29131189554717,0.9,727.7210531520981,11306.0,240.0
I7207,Czech Republic,Radovesice,50.410265,14.074597,4400.0,M,1.863154,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.007),3.30859375,26.122524836445326,0.9,204.80300325438682,14060.0,240.0
I7208,Czech Republic,Radovesice,50.410265,14.074597,4330.0,M,1.9622700000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),3.482421875,42.98438201573857,0.9,205.89373647984053,14757.0,240.0
I7209,Czech Republic,Radovesice,50.410265,14.074597,4283.0,M,4.120915,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),3.91796875,49.92526973373859,0.9,212.24871052080374,16723.0,240.0
I7271,Czech Republic,Brandysek,50.19,14.158,4200.0,M,0.198159,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_brother.I7278,PASS,0.5322265625,21.36622860122069,0.9,255.05770470293533,2275.0,240.0
I7278,Czech Republic,Brandysek,50.19,14.158,4332.0,M,3.567538,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS (Xcontam=0.014),3.4375,41.57323946543383,0.9,247.4782061116773,14621.0,240.0
I7041,Hungary,Szigetszentmiklos-Vozm-telep-dulo,47.429954,19.051966,4000.0,M,0.436679,1240K,OlaldeNature2018,"Pinhasi, Ron",Hungary_EBA_Protonagyrev_brother.I7043,PASS,1.2060546875,16.169356782836914,0.9,224.42318848621017,5121.0,240.0
I7043,Hungary,Szigetszentmiklos-Vozm-telep-dulo,47.429954,19.051966,4007.0,M,4.096184,1240K,OlaldeNature2018,"Pinhasi, Ron",Hungary_EBA_Protonagyrev,PASS (Xcontam=0.006),3.47265625,31.75373259279547,0.9,228.9168527384408,14775.0,240.0
I7282,Czech Republic,Radovesice,50.410265,14.074597,4200.0,M,3.173133,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS (Xcontam=0.005),3.396484375,42.09015224807333,0.9,206.49234276553008,14492.0,240.0
I7289,Czech Republic,Radovesice,50.410265,14.074597,4287.0,M,3.202805,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_sibling.I7214,PASS,3.265625,60.944911469359546,0.9,205.12634929387778,13933.0,240.0
I7210,Czech Republic,Radovesice,50.410265,14.074597,4070.0,M,3.5558449999999997,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_father.or.son.I7212,PASS,3.123046875,44.10678006857428,0.9,234.03721312724946,13283.0,240.0
I7212,Czech Republic,Radovesice,50.410265,14.074597,4280.0,M,3.560543,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS,3.142578125,30.42160401124747,0.9,154.1081184338194,13330.0,240.0
I6712,Russia,"Middle Yenisei region, Afanasieva Gora",54.35661,90.919186,4632.0,M,1.291225,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo_son.I10565,PASS (Xcontam=0.004),2.84375,37.11961991734448,0.9,259.85375983501484,12101.0,240.0
I6711,Russia,"Middle Yenisei region, Afanasieva Gora",54.35661,90.919186,4750.0,M,0.213903,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo,PASS,0.67041015625,10.0,0.9,220.070887486862,2863.0,240.0
I6714,Russia,"Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III",48.832683,83.909744,4495.0,M,3.6111739999999997,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo_son.I3388_son.I3950_brother.I3949,PASS (Xcontam=0.006),3.970703125,65.03913300193828,0.9,260.9147123598326,16864.0,240.0
I6718,Russia,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",55.1924,89.3053,3509.0,M,3.933119,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_MLBA_Krasnoyarsk,PASS (Xcontam=0.005),3.7890625,28.38267756556763,0.9,206.15307814432944,16155.0,240.0
I4157,Uzbekistan,Bustan,37.66666667,67,3400.0,M,0.29332199999999997,1240K,NarasimhanPattersonScience2019,"Frachetti, Michael",Uzbekistan_BA_Bustan,PASS,0.87841796875,23.93118725031239,0.9,381.08956662443944,3750.0,240.0
I6708,Kazakhstan,"Northeastern Kazakhstan, Kanai Cemetery",48.832683,83.909744,4062.0,M,0.12668900000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Kazakhstan_Kanai_MBA,PASS,0.400634765625,13.207803226803087,0.9,331.38205788817703,1688.0,240.0
I6789,Kazakhstan,Maitan,50.09,74.44,3735.0,M,3.7774769999999998,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Maitan,PASS (Xcontam=0.005),3.744140625,62.806609800195424,0.9,251.68541373548044,15923.0,240.0
I6793,Kazakhstan,Maitan,50.09,74.44,3641.0,M,4.057975,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Maitan,PASS (Xcontam=0.002),3.833984375,41.69566524839982,0.9,252.54313154342927,16308.0,240.0
I6794,Kazakhstan,Maitan,50.09,74.44,3732.0,M,4.087137,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Maitan,PASS (Xcontam=0.004),3.8828125,46.94717809568073,0.9,222.40217235398617,16550.0,240.0
I6799,Kazakhstan,Satan,49.12,75.81,3732.0,M,3.784221,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Satan,PASS (Xcontam=0.005),4.0625,62.29059067548554,0.9,311.589462492922,17264.0,240.0
I7101,Turkmenistan,Gonur,38.21228,62.03443,4050.0,M,0.007984999999999999,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1_lc,PASS,0.027099609375,102.18497023096968,0.9,715.8342114229426,125.0,240.0
I7170,Turkmenistan,Gonur,38.21228,62.03443,3850.0,M,0.006362,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1_lc,PASS,0.0231781005859375,99.83301770960783,0.9,53.384104275400475,102.0,240.0
I7419,Uzbekistan,Sappali Tepe,37.41666667,66.83333333,3741.0,M,2.631643,1240K,NarasimhanPattersonScience2019,"Frachetti, Michael",Uzbekistan_BA_SappaliTepe,PASS (Xcontam=0.006),3.990234375,71.61432454957209,0.9,406.4558407396188,16953.0,240.0
I7420,Uzbekistan,Sappali Tepe,37.41666667,66.83333333,3750.0,M,2.189652,1240K,NarasimhanPattersonScience2019,"Frachetti, Michael",Uzbekistan_BA_SappaliTepe,PASS (Xcontam=0.004),4.04296875,69.30331344534889,0.9,439.90676426797467,17136.0,240.0
