indivID	Country	Location	Lat	Long	AvgDate_calBP	Sex	Cov_Autosomes	Data_Type	Publication	Contact	Assessment
Loschbour_snpAD.DG	Luxembourg	Echternach	49.81	6.4	8050	M	22	Shotgun.diploid	Pruefer2017	Krause, Johannes	PASS
UstIshim_snpAD.DG	Russia	Ust'-Ishim, Siberia	57.7	71.1	45020	M	42	Shotgun.diploid	Pruefer2017	Paabo, Svante	PASS
Loschbour_published.DG	Luxembourg	Echternach	49.81	6.4	8050	M	22	Shotgun.diploid	LazaridisNature2014	Krause, Johannes	PASS (literature)
Ust_Ishim_published.DG	Russia	Ust'-Ishim, Siberia	57.7	71.1	45020	M	42	Shotgun.diploid	FuNature2014	Paabo, Svante	PASS (literature)
C1.SG	Nepal	Chokhopani Tomb, Nepal	..	..	2775	M	7.182	Shotgun	JeongPNAS2016	..	PASS (literature)
WC1.SG	Iran	Wezmeh Cave, Central Zagros	34.6129	47.1057	9219	M	10.388	Shotgun	BroushakiScience2016	..	PASS (literature)
I0160.SG	Great Britain	England, East Anglia, Hinxton	52.08	0.18	1995	M	8.439	Shotgun	SchiffelsNatureCommunications2016	Haak, Wolfgang	PASS (literature)
I0585	Spain	Leon, La Brana-Arintero	42.911	-5.3778	7815	M	19.536	1240K	MathiesonNature2015 (1240k of same same sample with shotgun in Olalde2014)	Lalueza-Fox, Carles	PASS (Xcontam=0.004)
I0061	Russia	Karelia, Yuzhnyy Oleni Ostrov	61.65	35.65	8280	M	5.272	1240K	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	PASS (Xcontam=0.005)
I0449	Hungary	Hódmez Vásárhely, Gorzsa Homokbánya	46.35587	20.27821	6700	M	6.872	1240K	LipsonNature2017	Laszlo, Mark	PASS (Xcontam=0.007)
I0708	Turkey	Northwest Anatolia, Marmara, Barcın	40.3037	29.6085	8097	M	6.948	1240K	MathiesonNature2015	Pinhasi, Ron	PASS (Xcontam=0.008)
I0745	Turkey	Northwest Anatolia, Marmara, Barcın	40.3037	29.6085	8251	M	7.785	1240K	MathiesonNature2015	Pinhasi, Ron	PASS (Xcontam=0.008)
I0746	Turkey	Northwest Anatolia, Marmara, Barcın	40.3037	29.6085	7930	M	8.465	1240K	MathiesonNature2015	Pinhasi, Ron	PASS (Xcontam=0.008)
I0709	Turkey	Northwest Anatolia, Marmara, Barcın	40.3037	29.6085	8086	M	9.765	1240K	MathiesonNature2015	Pinhasi, Ron	PASS (Xcontam=0.008)
