indivID,Country,Location,Lat,Long,AvgDate_calBP,Sex,Cov_Autosomes,Data_Type,Publication,Contact,Group_ID,Assessment,snps_per25kb,mle_lambda_jt,mle_eps_jt,mle_lambda_marginal,nsnps,npanel
I1137_all_published,Vietnam,Man Bac,20.13333333,105.9833333,3764.0,M,0.136147,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_all_published,PASS (mtcontam=0.91-0.995),0.38037109375,736.1473595018209,0.09522905951670665,1375.1872933644402,1403.0,49.0
I4451_all,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260.0,M,1.549016,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP_all,PASS (Xcontam=0.011),3.09375,796.3803399459975,0.03601088613148113,1120.20315142503,11503.0,49.0
I1137,Vietnam,Man Bac,20.13333333,105.9833333,3764.0,M,0.102389,1240K,LipsonScience2018,"Pinhasi, Ron",Vietnam_N_published,PASS (mtcontam=0.91-0.981),0.2998046875,610.0767290645534,0.11101402753731203,1311.6582556833523,1112.0,49.0
I1781,Turkmenistan,Gonur,38.21228,62.03443,3841.0,M,0.345139,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS,0.994140625,578.7080773041906,0.019024630052270824,703.2481018399191,3718.0,49.0
I2085,Turkmenistan,Gonur,38.21228,62.03443,3899.0,M,0.130472,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.978-0.999),0.422607421875,700.2419722267987,0.03632466199094224,1017.4813122686827,1598.0,49.0
I2087,Turkmenistan,Gonur,38.21228,62.03443,4065.0,M,0.064651,1240K,NarasimhanPattersonScience2019,"Mallory, James; Dubova, Nadezhda",Turkmenistan_Gonur_BA_1,PASS (mtcontam=0.977-0.999),0.198486328125,305.99586049090385,0.07857458454324351,968.0884389995368,742.0,49.0
I2927,Iran,Tepe Hissar,36.15444444,54.38361111,4413.0,M,0.5475760000000001,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Monge, Janet",Iran_C_TepeHissar,PASS,1.349609375,702.3562902542418,0.015952386554968292,813.8937562014065,4954.0,49.0
I3807,Spain,"Granada, Lecrín, Torna Alta, Alquería de Mondújar",36.949194,-3.538,600.0,M,0.136811,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_NazariPeriod_Muslim,PASS (mtcontam=0.957-0.964),0.420654296875,524.3936933001271,0.13507411556626417,313878.39296412206,1551.0,49.0
I3981,Spain,"Granada, Fuentenueva",37.1775,-3.609166667,1450.0,M,0.654293,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman,PASS,1.8642578125,553.3803740183516,0.023192795812324758,718.6837279508659,6895.0,49.0
I4055_published,Spain,"Granada, Plaza Einstein",37.1775,-3.609166667,1450.0,M,0.049207,1240K,OlaldeScience2019,"Lalueza-Fox, Carles",Iberia_Roman_published,PASS,0.1690673828125,259.4498924294402,0.06368265986407307,1107.981154618245,607.0,49.0
I4246_published,Spain,"Madrid, San Fernando de Henares, Camino de las Yeseras",40.439722,-3.506389,4202.0,M,1.128632,1240K,OlaldeScience2019,"Allentoft, Morten",Iberia_BellBeaker_o_published,PASS (Xcontam=0.011),2.708984375,674.9117827764206,0.03404562495268655,998.248399677931,10105.0,49.0
I4451,Vanuatu,"Efate, Mele-Taplins",-17.689401,168.289509,2260.0,M,1.1333229999999999,1240K,LipsonCurrentBiology2018,"Pinhasi, Ron",Vanuatu_2300BP,PASS (Xcontam=0.01),2.658203125,797.784761382751,0.033129709351913325,1054.0639547810906,9871.0,49.0
I7207,Czech Republic,Radovesice,50.410265,14.074597,4400.0,M,1.863154,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.007),3.30859375,420.4111459242448,0.011426139921315352,463.7334635333812,12268.0,49.0
I7208,Czech Republic,Radovesice,50.410265,14.074597,4330.0,M,1.9622700000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),3.482421875,362.34614154769343,0.0076742869483922855,391.1511358983892,12899.0,49.0
I7209,Czech Republic,Radovesice,50.410265,14.074597,4283.0,M,4.120915,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Veleminsky, Petr; Dobeš, Miroslav",Czech_CordedWare,PASS (Xcontam=0.006),3.91796875,398.45796874856285,0.009975953192306085,447.42218387044784,14691.0,49.0
I7271,Czech Republic,Brandysek,50.19,14.158,4200.0,M,0.198159,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_brother.I7278,PASS,0.5322265625,354.40738674515086,0.029080868730454772,467.00418127430896,2000.0,49.0
I7278,Czech Republic,Brandysek,50.19,14.158,4332.0,M,3.567538,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS (Xcontam=0.014),3.4375,453.6630858277919,0.009487124052124974,513.591191284135,12816.0,49.0
I7041,Hungary,Szigetszentmiklos-Vozm-telep-dulo,47.429954,19.051966,4000.0,M,0.436679,1240K,OlaldeNature2018,"Pinhasi, Ron",Hungary_EBA_Protonagyrev_brother.I7043,PASS,1.2060546875,382.20146942478686,0.007191465220425361,420.2243542614374,4487.0,49.0
I7043,Hungary,Szigetszentmiklos-Vozm-telep-dulo,47.429954,19.051966,4007.0,M,4.096184,1240K,OlaldeNature2018,"Pinhasi, Ron",Hungary_EBA_Protonagyrev,PASS (Xcontam=0.006),3.47265625,395.0032021743112,0.00570568216740333,421.30442721452215,12937.0,49.0
I7282,Czech Republic,Radovesice,50.410265,14.074597,4200.0,M,3.173133,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS (Xcontam=0.005),3.396484375,412.30415120005944,0.00791018557136449,450.3394873271145,12699.0,49.0
I7289,Czech Republic,Radovesice,50.410265,14.074597,4287.0,M,3.202805,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_sibling.I7214,PASS,3.265625,364.1009629005538,0.009483217488482552,402.1795992477255,12191.0,49.0
I7210,Czech Republic,Radovesice,50.410265,14.074597,4070.0,M,3.5558449999999997,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker_father.or.son.I7212,PASS,3.123046875,478.32772206103795,0.005205374070573589,502.56016095380255,11654.0,49.0
I7212,Czech Republic,Radovesice,50.410265,14.074597,4280.0,M,3.560543,1240K,OlaldeNature2018,"Pinhasi, Ron",Czech_BellBeaker,PASS,3.142578125,336.8629478195171,0.003805667943002006,351.00279316907887,11667.0,49.0
I6712,Russia,"Middle Yenisei region, Afanasieva Gora",54.35661,90.919186,4632.0,M,1.291225,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo_son.I10565,PASS (Xcontam=0.004),2.84375,438.0856374843161,0.006106969526936887,471.2814612588046,10603.0,49.0
I6711,Russia,"Middle Yenisei region, Afanasieva Gora",54.35661,90.919186,4750.0,M,0.213903,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo,PASS,0.67041015625,392.20860180435886,0.024622059166411255,505.93587415446945,2472.0,49.0
I6714,Russia,"Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III",48.832683,83.909744,4495.0,M,3.6111739999999997,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_Afanasievo_son.I3388_son.I3950_brother.I3949,PASS (Xcontam=0.006),3.970703125,438.1729898647391,0.006484021454000218,465.9155861390375,14758.0,49.0
I6718,Russia,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",55.1924,89.3053,3509.0,M,3.933119,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Russia_MLBA_Krasnoyarsk,PASS (Xcontam=0.005),3.7890625,421.55521451237985,0.006677098598174721,449.8002125484583,14192.0,49.0
I4157,Uzbekistan,Bustan,37.66666667,67,3400.0,M,0.29332199999999997,1240K,NarasimhanPattersonScience2019,"Frachetti, Michael",Uzbekistan_BA_Bustan,PASS,0.87841796875,520.7005778245815,0.021768183736017483,646.6939911027696,3282.0,49.0
I6708,Kazakhstan,"Northeastern Kazakhstan, Kanai Cemetery",48.832683,83.909744,4062.0,M,0.12668900000000002,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Moiseyev, Vyacheslav",Kazakhstan_Kanai_MBA,PASS,0.400634765625,607.8583687068804,0.020650596782140578,732.2499520269856,1472.0,49.0
I6789,Kazakhstan,Maitan,50.09,74.44,3735.0,M,3.7774769999999998,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Maitan,PASS (Xcontam=0.005),3.744140625,493.41726000883136,0.006671294929016322,530.2093211130289,13921.0,49.0
I6793,Kazakhstan,Maitan,50.09,74.44,3641.0,M,4.057975,1240K,NarasimhanPattersonScience2019,"Pinhasi, Ron; Slepchenko, Sergey Mikhailovich; Bagashev, Anatoly Nikolaevich",Kazakhstan_MLBA_Alakul_Maitan,PASS (Xcontam=0.002),3.833984375,499.71850121995374,0.010151083753184742,560.6486661824887,14306.0,49.0
