iid	pop	max_roh	sum_roh>4	n_roh>4	sum_roh>8	n_roh>8	sum_roh>12	n_roh>12	sum_roh>20	n_roh>20	lat	lon	age	study	clst	mean_cov	n_cov_snp	include_alt	region	color	economy
BR2.SG	Hungary_LBA.SG	5.221403000000001	5.221403000000001	1	0.0	0	0.0	0	0.0	0	47.82	19.95	3140.0	GambaNatureCommunications2014	Hungary_LBA.SG	19.164	1182644	1	Eastern Europe	blue	Agriculture
Yana_old.SG	Yana_UP.SG	17.781299000000004	117.515815	17	37.878197000000014	3	17.781299000000004	1	0.0	0	70.72	135.42	31950.0	SikoraNature2019	Yana_UP.SG	24.316303	1182458	1	all	purple	Foraging
Yamnaya.SG	Kazakhstan_EBA_Yamnaya.SG	11.034095000000011	43.707489	6	11.034095000000011	1	0.0	0	0.0	0	49.134217	75.85181700000003	4903.0	DamgaardScience2018	Kazakhstan_EBA_Yamnaya.SG	25.2	1182098	1	Steppe	gold	Pastoralism
Kolyma_River.SG	Kolyma_M.SG	24.3815	200.96021499999998	26	97.545197	6	66.91369700000001	3	48.136601	2	68.6	159.1	9786.0	SikoraNature2019	Kolyma_M.SG	14.992965	1182088	1	all	purple	Foraging
AHUR_2064.SG	USA_Nevada_SpiritCave_11000BP.SG	14.462398999999992	100.270373	18	14.462398999999992	1	14.462398999999992	1	0.0	0	37.41	-122.08	10970.0	MorenoMayarScience2018	USA_Nevada_SpiritCave_11000BP.SG	17.937478	1181994	1	Pacific NW	purple	Foraging
rath1.SG	Ireland_BA.SG	6.704997999999995	6.704997999999995	1	0.0	0	0.0	0	0.0	0	55.292131999999995	-6.191685	3906.0	CassidyPNAS2016	Ireland_BA.SG	11.63	1181857	1	Britain	blue	Agriculture
Sunghir3.SG	Russia_Sunghir3.SG	15.043402000000004	186.46561599999998	23	102.947406	10	27.086806	2	0.0	0	56.17611111	40.5025	34093.0	SikoraScience2017	Russia_Sunghir3.SG	12.034286999999999	1181712	1	Steppe	purple	Foraging
mota.SG	Ethiopia_4500BP_published.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	6.797495	38.207852	4472.0	LlorenteScience2015	Ethiopia_4500BP_published.SG	11.289000000000001	1181617	1	East Africa	gray	Low Certainty
baa001.SG	South_Africa_2000BP.SG	4.5901059999999845	8.715405999999977	2	0.0	0	0.0	0	0.0	0			1909.0	SchlebuschScience2017	South_Africa_2000BP.SG	12.93395	1181491	1	South Africa	purple	Foraging
SZ43.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1431.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	11.762964	1181334	1	Balkans	blue	Agriculture
A460.SG	Chile_WesternArchipelago_Ayayema_4700BP.SG	30.2068	337.55488700000006	40	211.832304	16	130.602902	7	57.709504	2	-50.1	-75.24	4660.0	MorenoMayarScience2018	Chile_WesternArchipelago_Ayayema_4700BP.SG	10.318539	1181323	1	Patagonia	purple	Foraging
